source_id,sample_relation,temperature_degC,designed_pressure_MPa,replicate_id,quantity,value,unit,data_status,evidence_level,source_doi,source_location,notes
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,2,SARA_aromatics,32.30,wt_percent,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","replicate 2"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,average,SARA_aromatics,31.56,wt_percent,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","source-reported average"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,1,SARA_resins,45.35,wt_percent,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","replicate 1"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,2,SARA_resins,43.56,wt_percent,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","replicate 2"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,average,SARA_resins,44.45,wt_percent,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","source-reported average"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,1,SARA_asphaltene,17.41,wt_percent,DIRECT_NUMERIC_MAPPED_HEADER,B,10.1021/acs.iecr.3c02759,"SI Table S5","Table S5 header is literally 'Aliphatene'; mapped to asphaltene because the four SARA columns sum to 100% and the main article describes the same 500 degC column as about 5% asphaltene"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,2,SARA_asphaltene,16.16,wt_percent,DIRECT_NUMERIC_MAPPED_HEADER,B,10.1021/acs.iecr.3c02759,"SI Table S5","Table S5 header is literally 'Aliphatene'; see mapping note for replicate 1"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,average,SARA_asphaltene,16.78,wt_percent,DIRECT_NUMERIC_MAPPED_HEADER,B,10.1021/acs.iecr.3c02759,"SI Table S5","source-reported average; Table S5 header is literally 'Aliphatene'"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,1,simdist_gasoline,0.79,wt_percent,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","simulated-distillation product fraction; replicate 1"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,2,simdist_gasoline,0.83,wt_percent,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","simulated-distillation product fraction; replicate 2"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,average,simdist_gasoline,0.81,wt_percent,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","source-reported average"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,1,simdist_diesel,22.68,wt_percent,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","simulated-distillation product fraction; replicate 1"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,2,simdist_diesel,24.78,wt_percent,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","simulated-distillation product fraction; replicate 2"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,average,simdist_diesel,23.73,wt_percent,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","source-reported average"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,1,simdist_distillate,33.97,wt_percent,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","Table S5 label is 'Distillate'; replicate 1"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,2,simdist_distillate,34.25,wt_percent,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","Table S5 label is 'Distillate'; replicate 2"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,average,simdist_distillate,34.11,wt_percent,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","source-reported average; Table S5 label is 'Distillate'"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,1,simdist_heavy_oil,42.56,wt_percent,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","simulated-distillation product fraction; replicate 1"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,2,simdist_heavy_oil,40.14,wt_percent,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","simulated-distillation product fraction; replicate 2"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,average,simdist_heavy_oil,41.35,wt_percent,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","source-reported average"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,average,simdist_nonheavy_sum,58.65,wt_percent,DERIVED_FROM_SI,B_DERIVED,10.1021/acs.iecr.3c02759,"SI Table S5","0.81 + 23.73 + 34.11; derived check only, not a separate source table field"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",500,25,average,light_distillates_fraction,69.98,percent,DERIVED_FROM_SI,B_DERIVED,10.1021/acs.iecr.3c02759,"SI Table S5","0.99 + 17.41 + 51.58 = 69.98%, explaining the article's rounded statement of 70% light distillates at 500 degC"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",500,25,average,SARA_asphaltene,5.51,wt_percent,DIRECT_NUMERIC_MAPPED_HEADER,B,10.1021/acs.iecr.3c02759,"SI Table S5","Table S5 'Aliphatene' average; consistent with article's rounded ~5% asphaltene statement"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",600,25,,CH4_fraction,51,percent,DIRECT_NUMERIC_ARTICLE,B,10.1021/acs.iecr.3c02759,"Main article abstract/results","methane peak; retained as article-level context, not a 380 degC composition"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",700,25,,H2_fraction,30,percent,DIRECT_NUMERIC_ARTICLE,B,10.1021/acs.iecr.3c02759,"Main article abstract/results","not a 380 degC composition"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",700,25,,gas_yield,0.88,g/g_TOC,DIRECT_NUMERIC_ARTICLE,B,10.1021/acs.iecr.3c02759,"Main article abstract/results","maximum reported endpoint; not the 380 degC gas yield"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",,,,oil_characterization_methods,"SARA plus simulated distillation",,DIRECT_QUALITATIVE,B,10.1021/acs.iecr.3c02759,"Main article + SI Table S5","SI Table S5 now recovered; exact 380 degC values are recorded above"
