source_id,sample_state,temperature_degC,measurement_group,component,value_percent,data_status,evidence_level,source_doi,source_location,notes
ACS_ZHAO_2023,generated_oil,380,simulated_distillation,middle_350_500C,34.11,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction; secondary paired pure-kerogen value."
ACS_ZHAO_2023,generated_oil,380,simulated_distillation,heavy_gt_500C,41.35,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction; main text rounds this to 41.4%."
ACS_ZHAO_2023,generated_oil,400,simulated_distillation,gasoline_IBP_180C,0.76,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,400,simulated_distillation,diesel_180_350C,23.94,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,400,simulated_distillation,middle_350_500C,42.17,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,400,simulated_distillation,heavy_gt_500C,33.13,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,450,simulated_distillation,gasoline_IBP_180C,1.01,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,450,simulated_distillation,diesel_180_350C,13.81,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,450,simulated_distillation,middle_350_500C,53.01,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,450,simulated_distillation,heavy_gt_500C,32.17,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,500,simulated_distillation,gasoline_IBP_180C,0.99,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,500,simulated_distillation,diesel_180_350C,17.41,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,500,simulated_distillation,middle_350_500C,51.58,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,500,simulated_distillation,heavy_gt_500C,30.02,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction; main text rounds this to 30%."
ACS_ZHAO_2023,free_oil,,simulated_distillation,gasoline_IBP_180C,0.81,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Free oil extracted before the SCW reaction."
ACS_ZHAO_2023,free_oil,,simulated_distillation,diesel_180_350C,18.09,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Free oil extracted before the SCW reaction."
ACS_ZHAO_2023,free_oil,,simulated_distillation,middle_350_500C,33.26,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Free oil extracted before the SCW reaction."
ACS_ZHAO_2023,free_oil,,simulated_distillation,heavy_gt_500C,47.84,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Free oil extracted before the SCW reaction; main text rounds this to 47.8%."
ACS_ZHAO_2023,generated_oil,300,SARA,saturates,18.45,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,300,SARA,aromatics,27.72,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,300,SARA,resins,33.41,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,300,SARA,asphaltenes,20.41,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction; four labels sum to 99.99% due to rounding."
ACS_ZHAO_2023,generated_oil,350,SARA,saturates,7.97,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,350,SARA,aromatics,23.79,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,350,SARA,resins,39.89,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,350,SARA,asphaltenes,28.35,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,380,SARA,saturates,7.21,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,380,SARA,aromatics,31.56,DERIVED_MASS_CLOSURE_SOURCE_FIGURE_LABEL_INCONSISTENT,B,10.1021/acs.iecr.3c02759,"Figure 6 plus Section 3.2 text","The visible Figure 6 aromatic label reads 44.80%, which makes the stack total 113.24%. Using the other direct labels gives 100-7.21-44.45-16.78 = 31.56%; this also gives saturates+aromatics=38.77%, consistent with the main-text rounded 38.8%. Preserve as derived, not as a direct figure label."
ACS_ZHAO_2023,generated_oil,380,SARA,resins,44.45,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction; main text rounds this to 44.5%."
ACS_ZHAO_2023,generated_oil,380,SARA,asphaltenes,16.78,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction; main text rounds this to 16.8%."
ACS_ZHAO_2023,generated_oil,400,SARA,saturates,9.82,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,400,SARA,aromatics,33.06,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,400,SARA,resins,45.01,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,400,SARA,asphaltenes,12.11,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,450,SARA,saturates,7.79,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,450,SARA,aromatics,44.80,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,450,SARA,resins,42.25,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,450,SARA,asphaltenes,5.16,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,500,SARA,saturates,30.24,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,500,SARA,aromatics,32.23,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,500,SARA,resins,32.02,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,500,SARA,asphaltenes,5.51,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction; main text rounds this to 5.5%."
ACS_ZHAO_2023,free_oil,,SARA,saturates,32.35,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Free oil extracted before the SCW reaction."
ACS_ZHAO_2023,free_oil,,SARA,aromatics,10.14,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Free oil extracted before the SCW reaction."
ACS_ZHAO_2023,free_oil,,SARA,resins,55.94,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Free oil extracted before the SCW reaction."
ACS_ZHAO_2023,free_oil,,SARA,asphaltenes,1.57,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Free oil extracted before the SCW reaction."
