sample_id,category,quantity,value,unit,data_status,evidence_level,source_doi,source_location,notes
C7_TONGCHUAN_ZHAO2023_RAW_SHALE,oil_composition,SARA_asphaltenes_duplicate_mean,25.55,percent,DERIVED_FROM_ESI_DUPLICATES,A_DERIVED,10.1039/D2SE01361D,ESI Table S2,"Raw duplicate range 24.8-26.3%."
C7_TONGCHUAN_ZHAO2023_RAW_SHALE,oil_composition,carbon_number_distribution_380C,,,NOT_LOCATED_FOR_EXACT_SAMPLE,A,10.1039/D2SE01361D,Main article + ESI audit,"No same-physical-sample machine-readable carbon-number distribution located."
C7_TONGCHUAN_ZHAO2023_RAW_SHALE,oil_composition,simulated_distillation_380C,,,NOT_LOCATED_FOR_EXACT_SAMPLE,A,10.1039/D2SE01361D,Main article + ESI audit,"No same-physical-sample simulated-distillation table located."
C7_TONGCHUAN_ZHAO2023_RAW_SHALE,quality,mass_balance_exp5,90,percent,DIRECT_NUMERIC,A,10.1039/D2SE01361D,ESI Table S2,380C experiment 5
C7_TONGCHUAN_ZHAO2023_RAW_SHALE,quality,mass_balance_exp6,91,percent,DIRECT_NUMERIC,A,10.1039/D2SE01361D,ESI Table S2,380C experiment 6
C7_TONGCHUAN_ZHAO2023_RAW_SHALE,measurement,gas_measurement_method,Agilent_7890A_GC_TCD_FID,,DIRECT_QUALITATIVE,A,10.1039/D2SE01361D,Methods,Gas collected in bag and quantified by wet flowmeter
C7_TONGCHUAN_ZHAO2023_RAW_SHALE,measurement,oil_SARA_method,IATROSCAN_MK6_TLC,,DIRECT_QUALITATIVE,A,10.1039/D2SE01361D,Methods,
C7_TONGCHUAN_ZHAO2023_RAW_SHALE,measurement,oil_elemental_method,Elementar_Vario_Macro_cube_CHNS,,DIRECT_QUALITATIVE,A,10.1039/D2SE01361D,Methods,
C7_TONGCHUAN_ZHAO2023_RAW_SHALE,measurement,oil_recovery_method,CS2_wash_then_46C_solvent_evaporation,,DIRECT_QUALITATIVE,A,10.1039/D2SE01361D,Methods,Authors explicitly note loss of hydrocarbons with boiling point below about 46 degC
C7_TONGCHUAN_ZHAO2023_RAW_SHALE,measurement,low_boiling_HC_recovery_bias,bp_below_46C_lost,,DIRECT_QUALITATIVE,A,10.1039/D2SE01361D,Methods,Critical limitation for reconstructing full C1+ product composition
