model,i,j,x_center_m,y_center_m,pressure_change_bar,gas_saturation,aqueous_co2_mole_fraction_x1e3,gas_co2_mole_fraction,water_saturation_change_x1e4
Our PR,4,1,225.0,45.0,0.44792319692625104,0.185503750527954,1.4053661874476466,0.21298377878876237,0.05970227473389711
Our PR,5,1,275.0,45.0,0.3264642053947616,0.19013691416348838,1.4042215889080114,0.21309133007133224,0.04377044919942619
Our PR,6,1,325.0,45.0,0.22864960055896827,0.19378671874139541,1.4032911247407291,0.21317775049137286,0.030791894679249587
Our PR,7,1,375.0,45.0,0.1537130706792753,0.19651817823711587,1.402572593073914,0.2132437911064196,0.020766013624301527
Our PR,8,1,425.0,45.0,0.09804066290404274,0.19850531522778161,1.4020355737414232,0.2132927566650591,0.013279049564773882
Our PR,9,1,475.0,45.0,0.057419323076657945,0.19993153641174283,1.4016422098314738,0.21332843623208939,0.007800242866617957
Our PR,10,1,525.0,45.0,0.027939192362647504,0.20095525556801777,1.4013562512202673,0.21335431464602675,0.0038172778176193134
Our PR,11,1,575.0,45.0,0.006322000371415167,0.20170161794988717,1.4011466507082617,0.21337329404319755,0.0008929002507929162
Our PR,12,1,625.0,45.0,-0.009967117330433801,0.20226313976057328,1.4009890168897585,0.21338760640622562,-0.001313417968523689
Our PR,13,1,675.0,45.0,-0.02273635379962064,0.20270376478028912,1.4008657362792039,0.21339883697390735,-0.00304509528908925
Our PR,14,1,725.0,45.0,-0.033146822299921885,0.2030636329691334,1.400765395849675,0.21340800018169387,-0.004458312302446643
Our PR,15,1,775.0,45.0,-0.04182766792282835,0.20336393914080703,1.4006817679213326,0.2134156437935088,-0.00563754209162437
Our PR,16,1,825.0,45.0,-0.049007083934998134,0.2036121261721214,1.4006125728274377,0.21342196526723223,-0.006613243502262556
Our PR,17,1,875.0,45.0,-0.054646022914394736,0.20380677364632946,1.4005581764999215,0.21342692926057047,-0.007379779971977696
Our PR,18,1,925.0,45.0,-0.05857060726165027,0.20394205658198805,1.40052028447379,0.21343038322987024,-0.00791332223695762
Our PR,19,1,975.0,45.0,-0.06059149110051617,0.20401168031740383,1.4005007610961866,0.2134321614878302,-0.008188031090899939
Our PR,0,2,25.0,75.0,0.9981059480351042,0.1711467957736982,1.4167610151064864,0.21346078788940356,0.13026281174430276
Our PR,1,2,75.0,75.0,0.9611883562051077,0.19256913956095684,1.5116912882877223,0.2280643163625093,0.19279810401137687
Our PR,2,2,125.0,75.0,0.8044172780917361,0.1784321275540636,1.4194614900551301,0.21431834128555804,0.10863406753028326
Our PR,3,2,175.0,75.0,0.632904751967514,0.17906644245488074,1.4077434742632116,0.21291997356580503,0.08246527001595783
Our PR,4,2,225.0,75.0,0.4735650021569654,0.18442429551872425,1.4056282603466743,0.2129642863831418,0.06268526876898606
Our PR,5,2,275.0,75.0,0.33931554540702513,0.18957256007556758,1.4043438844623686,0.21307998429732686,0.045384737202613934
Our PR,6,2,325.0,75.0,0.23435370739960298,0.19353970438199314,1.4033456469969257,0.21317269185995827,0.03153696583368948
Our PR,7,2,375.0,75.0,0.1555908424185384,0.19643295551222192,1.4025904621304748,0.21324211541265808,0.02101668850953975
Our PR,8,2,425.0,75.0,0.09760788124385475,0.198509638987511,1.4020309932653112,0.2132931128361876,0.013220143675968243
Our PR,9,2,475.0,75.0,0.05534356317977421,0.19999562157104736,1.401621575934309,0.21333023362689207,0.007518705916920165
Our PR,10,2,525.0,75.0,0.024473723989669235,0.2010689243166531,1.4013221160815403,0.2133573334394014,0.0033473867159516946
Our PR,11,2,575.0,75.0,0.0014787172976043076,0.2018642383625069,1.4010992542418919,0.21337752745975808,0.00023630832149401648
Our PR,12,2,625.0,75.0,-0.01629562089119479,0.20247805816963896,1.4009273929433907,0.21339315084516683,-0.0021715816808653976
Our PR,13,2,675.0,75.0,-0.030691712530778723,0.20297537239225028,1.4007885128321391,0.21340581663895866,-0.004124734848426348
Our PR,14,2,725.0,75.0,-0.042836276552971446,0.2033950290317601,1.4006714801742444,0.21341650744076762,-0.005774537421926462
Our PR,15,2,775.0,75.0,-0.05327241130176932,0.20375515607693434,1.4005708814800797,0.2134256947225531,-0.0071935380964449624
Our PR,16,2,825.0,75.0,-0.06210817911171168,0.20405922844666038,1.4004856113298743,0.21343347074620414,-0.008395640519021086
Our PR,17,2,875.0,75.0,-0.0691634218224492,0.2043013001794836,1.400417430035421,0.2134396771264151,-0.009355824894669018
Our PR,18,2,925.0,75.0,-0.07412460276933014,0.2044711237483908,1.4003694288302249,0.2134440397348994,-0.010031105479313407
Our PR,19,2,975.0,75.0,-0.0766930645535458,0.20455896285198705,1.4003445593093027,0.21344629779814542,-0.010380664576731258
Our PR,0,3,25.0,105.0,1.047317729004115,0.18662188915088354,1.4862607472695744,0.22396077390225777,0.1888892138956766
Our PR,1,3,75.0,105.0,1.0663030290860869,0.247831065470063,2.0863952893250226,0.31675438048330046,0.5207733076726395
Our PR,2,3,125.0,105.0,0.8939344436652438,0.19797510641093327,1.527970440466454,0.2307388118756601,0.19984679256682125
Our PR,3,3,175.0,105.0,0.689760665023269,0.18274155735026806,1.4191405669739894,0.2145361170970234,0.09131067655285263
Our PR,4,3,225.0,105.0,0.5051418909027744,0.18381858282355662,1.4064593357506097,0.21301856037611336,0.06563898530781431
Our PR,5,3,275.0,105.0,0.3537402603160925,0.18894076782410538,1.4044939685435645,0.2130692202909171,0.04706785254868229
Our PR,6,3,325.0,105.0,0.24005099317252265,0.19326396206625557,1.4034002107394619,0.2131676474534721,0.032277003358477385
Our PR,7,3,375.0,105.0,0.15691816327994504,0.19635358683016127,1.4026028532134436,0.21324090819501768,0.02119658330046459
Our PR,8,3,425.0,105.0,0.09607490143952892,0.19854407570304883,1.4020154532224842,0.21329441778542665,0.013010610796782007
Our PR,9,3,475.0,105.0,0.05159669364668242,0.20011145152411478,1.40158433428483,0.21333347913317624,0.0070066537849466926
Our PR,10,3,525.0,105.0,0.018743445190830158,0.2012564680468444,1.4012656132820631,0.2133623231591885,0.0025662550525717975
Our PR,11,3,575.0,105.0,-0.006321496851319447,0.20212585207154507,1.4010228713873603,0.2133843436334021,-0.000824787626890755
Our PR,12,3,625.0,105.0,-0.026402164648933336,0.20282068097847264,1.4008289515164465,0.21340200391313005,-0.0035446723426757476
Our PR,13,3,675.0,105.0,-0.04337721645256691,0.20340746549452518,1.4006653393559547,0.213416944737805,-0.005848455655155238
Our PR,14,3,725.0,105.0,-0.05830279782992415,0.20392237568502422,1.4005214909500328,0.21343008380748793,-0.007877700704511659
Our PR,15,3,775.0,105.0,-0.07157235798964463,0.20437819063770815,1.4003934206050213,0.21344176026850956,-0.009684016597705236
Our PR,16,3,825.0,105.0,-0.08309635507081635,0.20477193753157366,1.400281969489958,0.2134518938501147,-0.011253906990665863
Our PR,17,3,875.0,105.0,-0.09245993554322607,0.2050903004629955,1.4001912323726788,0.21346012205936868,-0.012530014344924734
Our PR,18,3,925.0,105.0,-0.0991138141947165,0.20531574091624147,1.4001266536064236,0.213465966026498,-0.013436959293317008
Our PR,19,3,975.0,105.0,-0.10257651293590665,0.205432908696514,1.4000930149996444,0.2134690063528147,-0.013908851991456528
Our PR,0,4,25.0,135.0,1.0725458595650736,0.22592558086839523,1.867720226186901,0.28276807899016004,0.40892482016766096
Our PR,1,4,75.0,135.0,1.1433878843712546,0.41925779885600123,3.249426486055993,0.4947313331391383,-4.650013068029479
Our PR,2,4,125.0,135.0,0.9243274003118854,0.26585519666650725,2.2810808222607566,0.34770257002652494,0.558615148084779
Our PR,3,4,175.0,135.0,0.7240008040687889,0.21051405434675724,1.587062766844625,0.24033220297068966,0.24352109618339113
Our PR,4,4,225.0,135.0,0.5337963077472709,0.1888513597715659,1.4194281837972957,0.2149472607344936,0.06709080311684268
Our PR,5,4,275.0,135.0,0.3636885451943204,0.18898011614193533,1.4049967516345363,0.21312339958863769,0.04733671131848527
Our PR,6,4,325.0,135.0,0.24266741530541516,0.19307855678555141,1.4034321204700966,0.21316637464269136,0.032570263011622025
Our PR,7,4,375.0,135.0,0.15636804591744208,0.1963193595928865,1.4025969175862503,0.21324134029361064,0.021136341917193935
Our PR,8,4,425.0,135.0,0.09258400427714922,0.19863437344953405,1.4019804587333164,0.21329741612394743,0.012529070950367815
Our PR,9,4,475.0,135.0,0.0454911440129783,0.20030070904177028,1.4015235788554525,0.21333876671582805,0.006160379266262339
Our PR,10,4,525.0,135.0,0.010156357806840911,0.20153846470159492,1.4011807939913405,0.21336979612027598,0.0013830232689360233
Our PR,11,4,575.0,135.0,-0.01768659226066619,0.20250822298108706,1.40091146725273,0.2133942713509731,-0.0023819365847221885
Our PR,12,4,625.0,135.0,-0.040987477385552605,0.20331453883951026,1.4006868211932677,0.21341477750242405,-0.0055331147925663515
Our PR,13,4,675.0,135.0,-0.06166587784940004,0.2040282868221416,1.4004876785274134,0.21343298443490513,-0.008338319834572117
Our PR,14,4,725.0,135.0,-0.08064485381750204,0.20468040570504087,1.4003046364997123,0.21344968809421153,-0.010920246517137633
Our PR,15,4,775.0,135.0,-0.09807494433314913,0.20527478632563959,1.4001360559065819,0.21346501372436638,-0.013295576450633728
Our PR,16,4,825.0,135.0,-0.11357551033859514,0.20579898554391138,1.399985677681692,0.21347862789878042,-0.015409966150015109
Our PR,17,4,875.0,135.0,-0.12637445254009774,0.20622876474326296,1.3998611807853452,0.2134898585152091,-0.017156610097712743
Our PR,18,4,925.0,135.0,-0.13555273458396458,0.20653549981294014,1.3997717284517615,0.21349790658641227,-0.01840925303928098
Our PR,19,4,975.0,135.0,-0.14034790358185767,0.20669549950138993,1.3997249405612353,0.21350210977358608,-0.01906349312064126
Our PR,0,5,25.0,165.0,0.9890057457572167,0.18639130748505164,1.4833709709808138,0.22365474429077054,0.17821261947809086
Our PR,1,5,75.0,165.0,1.0193872962200548,0.26529991035589734,2.2809770725684873,0.34721372997747113,0.5784442516584554
Our PR,2,5,125.0,165.0,0.8424358643999751,0.22119532153092553,1.6878339180400148,0.2555912938918439,0.34902006888562487
Our PR,3,5,175.0,165.0,0.672902490437612,0.19418715747063872,1.449827880100943,0.21929052294255108,0.1092102935773831
Our PR,4,5,225.0,165.0,0.5121437436211668,0.18635781555011463,1.4094229577854942,0.2134582725081894,0.06372120445369278
Our PR,5,5,275.0,165.0,0.3594724535177369,0.1890144208512203,1.4046581206153501,0.21308093727955563,0.040018161842791944
Our PR,6,5,325.0,165.0,0.23898693551401978,0.19295992422656236,1.4033900335757346,0.21316855909752772,0.031165097408775155
Our PR,7,5,375.0,165.0,0.15318302175414933,0.196338214781429,1.4025648912149888,0.21324403307358647,0.020729667520674733
Our PR,8,5,425.0,165.0,0.08624479042919167,0.19880615854660483,1.4019170457798897,0.21330287558568192,0.011635689323302723
Our PR,9,5,475.0,165.0,0.03613226957494021,0.20059424185115798,1.4014302075378238,0.2133468666982164,0.004827011097746636
Our PR,10,5,525.0,165.0,-0.002061068270202726,0.20194877920878113,1.401059821618933,0.2133804225583315,-0.00033705421892404885
Our PR,11,5,575.0,165.0,-0.03343195155858807,0.20304715102579837,1.4007569158613506,0.2134080207576008,-0.004572757543896966
Our PR,12,5,625.0,165.0,-0.06093836719807424,0.2039911188863603,1.400492285262227,0.21343224554099177,-0.008270484896599761
Our PR,13,5,675.0,165.0,-0.08667019318512827,0.20487284747358045,1.4002446055369666,0.21345490617607013,-0.011752313150342752
Our PR,14,5,725.0,165.0,-0.11129021020989119,0.2057122241861229,1.4000067870215662,0.21347656242255203,-0.015101483618773504
Our PR,15,5,775.0,165.0,-0.1345491917724218,0.20649691074693663,1.3997811124309416,0.21349698886701246,-0.01827393361691909
Our PR,16,5,825.0,165.0,-0.15567619193313084,0.20720140444498675,1.3995752723625294,0.213515514425473,-0.021159068787163227
Our PR,17,5,875.0,165.0,-0.1733775453791618,0.20778603954251604,1.3994022312517567,0.21353101687982273,-0.023577354433923503
Our PR,18,5,925.0,165.0,-0.1861635802280791,0.20820576622370318,1.3992769411375443,0.21354220504148902,-0.025323967075913112
Our PR,19,5,975.0,165.0,-0.19285681179500372,0.20842511653924004,1.3992112631460487,0.21354805937129884,-0.02623779765065226
Our PR,0,6,25.0,195.0,0.8272216164549273,0.1757799946709295,1.4163509692263636,0.21378989098841647,0.10956424911154339
Our PR,1,6,75.0,195.0,0.8451739146474357,0.2080971692938034,1.5852881145342619,0.23970102671097057,0.24122678573834655
Our PR,2,6,125.0,195.0,0.7405995922022238,0.19225396627038355,1.4489350688985603,0.21898782081095902,0.11998476602323449
Our PR,3,6,175.0,195.0,0.6090470563594159,0.18477920806961107,1.411862408027662,0.21360737661011203,0.07481970210834743
Our PR,4,6,225.0,195.0,0.455919171539994,0.18577790256027568,1.4058398883427172,0.2130376548872205,0.05516964950375014
Our PR,5,6,275.0,195.0,0.3235195540433824,0.1895996291331452,1.4041705559602484,0.21309014394144402,0.04287310207812256
Our PR,6,6,325.0,195.0,0.23197961440457962,0.19334796591680006,1.4032793353836837,0.21316816699222269,0.03172209591703612
Our PR,7,6,375.0,195.0,0.1487001604422014,0.19653504199850566,1.402517058953784,0.2132474473414137,0.01492333317310024
Our PR,8,6,425.0,195.0,0.07593760823941045,0.1990615445666017,1.4018137817496514,0.2133117555502523,0.010029555709167859
Our PR,9,6,475.0,195.0,0.022086084519252182,0.20100143199544127,1.401289589102516,0.21335902166985815,0.002755607394766546
Our PR,10,6,525.0,195.0,-0.019165136348573492,0.20253318781632892,1.400890077695234,0.21339530832021328,-0.0027902055112494217
Our PR,11,6,575.0,195.0,-0.05497822474225238,0.20380195847959973,1.4005451512732146,0.2134268412621423,-0.007630517129708636
Our PR,12,6,625.0,195.0,-0.0873579870226197,0.20489359688247966,1.4002344901165986,0.2134553713092405,-0.011936736972306683
Our PR,13,6,675.0,195.0,-0.11970099863299727,0.2059800008047084,1.399923161914147,0.21348384923692326,-0.01628086220933911
Our PR,14,6,725.0,195.0,-0.15196340424843133,0.20706562573919457,1.3996106751774409,0.2135121989097118,-0.020663283414268374
Our PR,15,6,775.0,195.0,-0.18314596654473433,0.20810228845129272,1.39930676747429,0.21353953781162982,-0.0249179942847233
Our PR,16,6,825.0,195.0,-0.21203245605160853,0.2090476953521546,1.3990237498457712,0.21356481247955683,-0.028865696197616364
Our PR,17,6,875.0,195.0,-0.23658064620053024,0.20984100768632324,1.3987822502107903,0.21358625776788456,-0.03222119739351714
Our PR,18,6,925.0,195.0,-0.25440149090580644,0.21041264789840336,1.3986064236230191,0.21360180998101624,-0.03465596183624409
Our PR,19,6,975.0,195.0,-0.2637207804151475,0.21071117311158694,1.3985143221463763,0.21360993910937273,-0.03592804579838349
Our PR,0,7,25.0,225.0,0.6614566899755131,0.17747154336066878,1.4078214816020842,0.21286611847272244,0.08538075931049938
Our PR,1,7,75.0,225.0,0.6590368571762406,0.1853319732053177,1.4229060175866652,0.21518604430543933,0.09179375033901982
Our PR,2,7,125.0,225.0,0.6126362513730861,0.1829561130797961,1.4097555769787078,0.21327549411559388,0.06971686730775084
Our PR,3,7,175.0,225.0,0.5040405986799971,0.18428025650289329,1.406156991856642,0.21297440050288136,0.056981633588693015
Our PR,4,7,225.0,225.0,0.3896028920903876,0.1873727518645961,1.4048012943866268,0.21303251490781866,0.05310918901668682
Our PR,5,7,275.0,225.0,0.28696946646933813,0.19117290231785203,1.4038038726835926,0.21311950018654482,0.03754565755098582
Our PR,6,7,325.0,225.0,0.20495275085394643,0.19450679298906154,1.4030171553327577,0.21319158542035394,0.02632417694761746
Our PR,7,7,375.0,225.0,0.13002879277198576,0.19735868481426946,1.402293266953466,0.2132575107750856,0.01868156007930888
Our PR,8,7,425.0,225.0,0.058354581882918255,0.198316691874248,1.4016358243341969,0.21332666086669905,0.004665939896592031
Our PR,9,7,475.0,225.0,-3.9718012770637874e-05,0.20047151922164658,1.4010671529265268,0.21337814868017407,-1.0177980014347554e-05
Our PR,10,7,525.0,225.0,-0.044659439963212234,0.2027176468467251,1.4006375530995467,0.2134176282151199,-0.005554014698816445
Our PR,11,7,575.0,225.0,-0.08688151589415595,0.20425973016079432,1.4002320554736938,0.21345483164371637,-0.011277190363062628
Our PR,12,7,625.0,225.0,-0.12180081763373873,0.2060404993416709,1.399898212216303,0.21348551841079738,-0.01672373665931315
Our PR,13,7,675.0,225.0,-0.16222055494292453,0.20738376527703561,1.399508728761248,0.2135210756536156,-0.022135923949312408
Our PR,14,7,725.0,225.0,-0.20465622193824684,0.20878692341318303,1.399095990236301,0.2135583054234297,-0.027883209704065992
Our PR,15,7,775.0,225.0,-0.24631968126067522,0.2101469847732292,1.3986875295950036,0.21359475113524778,-0.033566002110324566
Our PR,16,7,825.0,225.0,-0.2857273062220346,0.2114059263054629,1.3982986921997649,0.21362913451306617,-0.03895253056365733
Our PR,17,7,875.0,225.0,-0.31974540918344263,0.21247444733697277,1.397961369546914,0.21365875777403548,-0.04360086755814119
Our PR,18,7,925.0,225.0,-0.34448403484361434,0.21324497823085814,1.3977151977896887,0.21368027408824722,-0.046976880828608625
Our PR,19,7,975.0,225.0,-0.35734003089756705,0.21364536961697933,1.3975870086618472,0.21369145012210314,-0.04872860480403807
Our PR,0,8,25.0,255.0,0.5130543204635624,0.18265478347942232,1.4059928516592661,0.21292874870685127,0.0672763319289893
Our PR,1,8,75.0,255.0,0.5022439142374564,0.18402531315912338,1.4067032201109142,0.21306307212023573,0.06542364409939383
Our PR,2,8,125.0,255.0,0.4634066096242443,0.18503022772167577,1.405631031624693,0.2129883041665907,0.059422204332942874
Our PR,3,8,175.0,255.0,0.39267341328362937,0.18745686694899366,1.404854925154113,0.21303366936050674,0.05150446079002502
Our PR,4,8,225.0,255.0,0.31806226526313647,0.19030013113226613,1.4041406409081856,0.2130982780890775,0.03729874741911776
Our PR,5,8,275.0,255.0,0.24301936909189634,0.19314606420801844,1.4033863645004703,0.21315862507858094,0.03389870852038568
Our PR,6,8,325.0,255.0,0.1763346692884434,0.19557321491758897,1.4027420234777213,0.21321686251798858,0.0232355789568095
Our PR,7,8,375.0,255.0,0.10005703455926478,0.19692806192452866,1.4019983825867965,0.21328338779437878,0.015242991993152932
Our PR,8,8,425.0,255.0,0.027639226886225866,0.19775015837702264,1.401254033824784,0.21334179969241554,0.009687305762312581
Our PR,9,8,475.0,255.0,-0.024060896852729843,0.20483008778917014,1.4007355373704375,0.2133852677618428,-0.0018330503602226322
Our PR,10,8,525.0,255.0,-0.07895498695622943,0.20468794090832235,1.4002692995893842,0.2134434266800227,-0.012346078397923455
Our PR,11,8,575.0,255.0,-0.13254008104716428,0.20595550921660646,1.3997618255165316,0.21349171029193065,-0.01749811162987669
Our PR,12,8,625.0,255.0,-0.166048485993471,0.20637657143314794,1.399467313302228,0.2135244398380869,-0.021390453080138983
Our PR,13,8,675.0,255.0,-0.21565564726828226,0.2090274860294486,1.3989867831754106,0.21356781282820475,-0.029379800858958527
Our PR,14,8,725.0,255.0,-0.27162959357151945,0.21090770924621466,1.3984390383144885,0.21361679311422188,-0.037056976350202664
Our PR,15,8,775.0,255.0,-0.32665931101275425,0.21267319524773914,1.3978955056424545,0.21366479441169708,-0.04456238399100365
Our PR,16,8,825.0,255.0,-0.3801745895090718,0.21433147205713626,1.3973628573034207,0.21371131859495107,-0.051875573040566225
Our PR,17,8,875.0,255.0,-0.42730944952247474,0.21575793703013435,1.396890899927563,0.2137521949190412,-0.05830597333558729
Our PR,18,8,925.0,255.0,-0.4614357982705757,0.21678279108575332,1.396547725737696,0.2137817490953396,-0.06294805633719203
Our PR,19,8,975.0,255.0,-0.4788844679382257,0.2173088013267075,1.3963718267807381,0.21379685397361223,-0.06531542523263711
Our PR,0,9,25.0,285.0,0.3892417310110926,0.18752729221201703,1.404813230488512,0.21303568679799217,0.05172877820996957
Our PR,1,9,75.0,285.0,0.3772479139477872,0.1880305682229211,1.404727000698215,0.21305038006575744,0.05006186600869933
Our PR,2,9,125.0,285.0,0.34702381982263175,0.1891635298737448,1.4044185201630852,0.21307347440510288,0.04614565092969647
Our PR,3,9,175.0,285.0,0.298918339470895,0.1910194624819364,1.4039606220331453,0.21311561190720427,0.040050860094481555
Our PR,4,9,225.0,285.0,0.24561537406221404,0.1930046116846582,1.4034529566224947,0.21316264439744687,0.03291550314557523
Our PR,5,9,275.0,285.0,0.1960833229938969,0.19466314815398414,1.4029765872164979,0.21320607393833005,0.023799095628801448
Our PR,6,9,325.0,285.0,0.13433782054438442,0.19697816035271049,1.4023778782155882,0.2132600879415918,0.013402511742893752
Our PR,7,9,375.0,285.0,0.06991342417602986,0.1989301202181025,1.4017077323934757,0.21331039074718244,0.012621247835797877
Our PR,8,9,425.0,285.0,0.00782886814109236,0.20124691913401543,1.4010532316186415,0.21335823112620217,0.0021776514595173158
Our PR,9,9,475.0,285.0,-0.04450031364557147,0.20791416397472312,1.4005299335478314,0.21340236405949478,-0.010268820677949986
Our PR,10,9,525.0,285.0,-0.10610811868654006,0.21029939089011135,1.3999344842158747,0.21345672455369238,-0.017934467283903244
Our PR,11,9,575.0,285.0,-0.16175373159357906,0.2109008376903978,1.3994108071622593,0.21350745425577503,-0.02204267048983022
Our PR,12,9,625.0,285.0,-0.21410099343601055,0.2064208939631688,1.3989976925289789,0.21356646065509288,-0.028250721403610957
Our PR,13,9,675.0,285.0,-0.2804060104280654,0.21087424337732172,1.3983520643407994,0.2136243428637116,-0.03817984913698225
Our PR,14,9,725.0,285.0,-0.35552653864001116,0.21343137880729582,1.3976110583769472,0.213689845433312,-0.04850036189937845
Our PR,15,9,775.0,285.0,-0.42646245535133964,0.21568863043379033,1.3969041787277594,0.2137515203529352,-0.05817516922695942
Our PR,16,9,825.0,285.0,-0.49886769099862505,0.21784844336358394,1.396175936668669,0.21381417389573865,-0.06807331472619138
Our PR,17,9,875.0,285.0,-0.5644885637280139,0.2197388193009744,1.3955110451694488,0.2138707725819812,-0.07699892479098858
Our PR,18,9,925.0,285.0,-0.6111830030503609,0.22108250626802345,1.3950354350280618,0.21391099316178125,-0.08331031890176921
Our PR,19,9,975.0,285.0,-0.6342126485198457,0.2217550840727069,1.3948001664566378,0.21393083009878974,-0.08640976501830822
Our PR,0,10,25.0,315.0,0.2901749773218278,0.19139371380528364,1.4038759186424044,0.21312334216208714,0.038877341155568734
Our PR,1,10,75.0,315.0,0.27978592149722953,0.19178213379587328,1.4037779951914395,0.21313260771637726,0.03750520606313201
Our PR,2,10,125.0,315.0,0.2570778614024613,0.19264257705476223,1.4035618540986876,0.21315260402202035,0.03452739719453368
Our PR,3,10,175.0,315.0,0.22319409495153836,0.19392111389784888,1.4032388308286503,0.21318251691953125,0.03007153609452251
Our PR,4,10,225.0,315.0,0.18392124926663003,0.19534828609871263,1.4028624009007848,0.21321711340305952,0.02485171458924129
Our PR,5,10,275.0,315.0,0.1429050482139215,0.19677308406689206,1.402466423775807,0.21325312841348937,0.01927169227375347
Our PR,6,10,325.0,315.0,0.0955899353003595,0.19836657928131138,1.4020059955792283,0.2132945686888406,0.012844147682100626
Our PR,7,10,375.0,315.0,0.04322596727803163,0.19897097809575875,1.4014901949811498,0.2133401567133156,0.004868131332491643
Our PR,8,10,425.0,315.0,-0.013736642092227936,0.2046360578483401,1.4008385883748542,0.2133765633134311,-8.726657191315823e-05
Our PR,9,10,475.0,315.0,-0.062059333565061915,0.2087859887874731,1.4003594512872997,0.21341778549582271,-0.012585167375511741
Our PR,10,10,525.0,315.0,-0.12701502792069502,0.2115098869878042,1.3997345236251677,0.21347538812344102,-0.023005971378164958
Our PR,11,10,575.0,315.0,-0.19440666409675963,0.2105105209039088,1.3991045531739705,0.21353746273095142,-0.029370417957308437
Our PR,12,10,625.0,315.0,-0.26447355541827716,0.20687948916929036,1.3984635808281587,0.21360401966563475,-0.025925386475139645
Our PR,13,10,675.0,315.0,-0.35693367321727426,0.21257615775902136,1.3975947085916711,0.2136905088897502,-0.05217194944304171
Our PR,14,10,725.0,315.0,-0.460100806312399,0.21626801024691691,1.3965696821095457,0.21378045161451045,-0.06275702683330997
Our PR,15,10,775.0,315.0,-0.5465040602598582,0.21912616229367546,1.395700546207405,0.21385540278330387,-0.07437921024366911
Our PR,16,10,825.0,315.0,-0.6448445044400934,0.22192031975430937,1.394699083625333,0.2139399656262385,-0.08787081624495041
Our PR,17,10,875.0,315.0,-0.7376275705061686,0.22441909418489997,1.3937452613521775,0.21401939211062154,-0.10044054488150822
Our PR,18,10,925.0,315.0,-0.800778230241159,0.22615959224949403,1.393092048120707,0.21407342946625424,-0.10888198913275304
Our PR,19,10,975.0,315.0,-0.8296176157071107,0.2269913810329081,1.392792772810549,0.21409814472854066,-0.11270917762296051
