system,eos,step,pvi,reservoir_watercut
lmh,PR,67,0.1675,0.0004463469901789093
lmh,PR,68,0.17,0.00044731704464425246
lmh,PR,69,0.1725,0.00044828788851271003
lmh,PR,70,0.175,0.0004492595240766016
lmh,PR,71,0.1775,0.0004502319538803776
lmh,PR,72,0.18,0.00045120518035655834
lmh,PR,73,0.1825,0.00045217920559673027
lmh,PR,74,0.185,0.00045315403167575446
lmh,PR,75,0.1875,0.0004541296605492959
lmh,PR,76,0.19,0.0004551060941651957
lmh,PR,77,0.1925,0.00045608333432089587
lmh,PR,78,0.195,0.0004570613830977083
lmh,PR,79,0.1975,0.000458040242344877
lmh,PR,80,0.2,0.00045901991364637933
lmh,PR,81,0.2025,0.00046000039890244765
lmh,PR,82,0.205,0.00046098170005203333
lmh,PR,83,0.2075,0.0004619638187155794
lmh,PR,84,0.21,0.00046294675647816326
lmh,PR,85,0.2125,0.00046393051506585025
lmh,PR,86,0.215,0.000464915095962238
lmh,PR,87,0.2175,0.00046590050055729846
lmh,PR,88,0.22,0.0004668867303055187
lmh,PR,89,0.2225,0.0004678737866962882
lmh,PR,90,0.225,0.00046886167105043624
lmh,PR,91,0.2275,0.0004698503847297048
lmh,PR,92,0.23,0.00047083992919256986
lmh,PR,93,0.2325,0.00047183030572443753
lmh,PR,94,0.235,0.0004728215155194384
lmh,PR,95,0.2375,0.0004738135604887808
lmh,PR,96,0.24,0.0004748064420959192
lmh,PR,97,0.2425,0.0004758001614524606
lmh,PR,98,0.245,0.0004767947197371814
lmh,PR,99,0.2475,0.0004777901182224398
lmh,PR,100,0.25,0.0004787863579855408
lmh,PR,101,0.2525,0.00047978344001521514
lmh,PR,102,0.255,0.0004807813653962922
lmh,PR,103,0.2575,0.0004817801352440994
lmh,PR,104,0.26,0.0004827797505895812
lmh,PR,105,0.2625,0.00048378021244457095
lmh,PR,106,0.265,0.00048478152189066745
lmh,PR,107,0.2675,0.0004857836799201833
lmh,PR,108,0.27,0.00048678668734230814
lmh,PR,109,0.2725,0.0004877905451986064
lmh,PR,110,0.275,0.0004887952545770286
lmh,PR,111,0.2775,0.0004898008169309707
lmh,PR,112,0.28,0.0004908072330934034
lmh,PR,113,0.2825,0.0004918145040376823
lmh,PR,114,0.285,0.0004928226306513464
lmh,PR,115,0.2875,0.0004938316138659003
lmh,PR,116,0.29,0.0004948414544884979
lmh,PR,117,0.2925,0.0004958521533041791
lmh,PR,118,0.295,0.0004968637109475251
lmh,PR,119,0.2975,0.0004978761280791173
lmh,PR,120,0.3,0.0004988894054824397
lmh,PR,121,0.3025,0.0004999035438386253
lmh,PR,122,0.305,0.000500918543726133
lmh,PR,123,0.3075,0.0005019344058348078
lmh,PR,124,0.31,0.0005029511308775362
lmh,PR,125,0.3125,0.000503968719672652
lmh,PR,126,0.315,0.000504987172848498
lmh,PR,127,0.3175,0.0005060064911235739
lmh,PR,128,0.32,0.000507026675372488
lmh,PR,129,0.3225,0.0005080477260689854
lmh,PR,130,0.325,0.0005090696437527417
lmh,PR,131,0.3275,0.0005100924289896112
lmh,PR,132,0.33,0.0005111160821759339
lmh,PR,133,0.3325,0.0005121406037402768
lmh,PR,134,0.335,0.000513165994206813
lmh,PR,135,0.3375,0.0005141922539970184
lmh,PR,136,0.34,0.0005152193834050017
lmh,PR,137,0.3425,0.000516247382845587
lmh,PR,138,0.345,0.0005172762528103927
lmh,PR,139,0.3475,0.000518305993624603
lmh,PR,140,0.35,0.0005193366057837761
lmh,PR,141,0.3525,0.0005203680897588523
lmh,PR,142,0.355,0.0005214004459684132
lmh,PR,143,0.3575,0.0005224336750179123
lmh,PR,144,0.36,0.0005234677780050135
lmh,PR,145,0.3625,0.0005245027555398503
lmh,PR,146,0.365,0.000525538607872711
lmh,PR,147,0.3675,0.000526575335230803
lmh,PR,148,0.37,0.0005276129379811253
lmh,PR,149,0.3725,0.0005286514164278683
lmh,PR,150,0.375,0.0005296907707200421
lmh,PR,151,0.3775,0.000530731001135537
lmh,PR,152,0.38,0.0005317721080901378
lmh,PR,153,0.3825,0.0005328140919754138
lmh,PR,154,0.385,0.0005338569529367476
lmh,PR,155,0.3875,0.0005349006914008749
lmh,PR,156,0.39,0.0005359453077486335
lmh,PR,157,0.3925,0.0005369908020384569
lmh,PR,158,0.395,0.0005380371744222156
lmh,PR,159,0.3975,0.0005390844252063226
lmh,PR,160,0.4,0.0005401325545132665
lmh,PR,161,0.4025,0.0005411815623662208
lmh,PR,162,0.405,0.0005422314490048206
lmh,PR,163,0.4075,0.0005432822147203611
lmh,PR,164,0.41,0.0005443338595694418
lmh,PR,165,0.4125,0.000545386383720849
lmh,PR,166,0.415,0.0005464397876469676
lmh,PR,167,0.4175,0.0005474940720547365
lmh,PR,168,0.42,0.0005485492385662982
lmh,PR,169,0.4225,0.0005496052924787701
lmh,PR,170,0.425,0.0005506622474262362
lmh,PR,171,0.4275,0.000551720141940953
lmh,PR,172,0.43,0.000552779086049191
lmh,PR,173,0.4325,0.0005538393939944164
lmh,PR,174,0.435,0.0005549019641010957
lmh,PR,175,0.4375,0.0005559693552188041
lmh,PR,176,0.44,0.0005570488498914526
lmh,PR,177,0.4425,0.0005581612875830918
lmh,PR,178,0.445,0.000559366344578783
lmh,PR,179,0.4475,0.0005608343008053407
lmh,PR,180,0.45,0.0005630549953312163
lmh,PR,181,0.4525,0.0005674495827876198
lmh,PR,182,0.455,0.0005781326493948546
lmh,PR,183,0.4575,0.0006071138701457187
lmh,PR,184,0.46,0.000689626070772339
lmh,PR,185,0.4625,0.0009254361509647604
lmh,PR,186,0.465,0.0015746957789590087
lmh,PR,187,0.4675,0.003208988538348824
lmh,PR,188,0.47,0.0067636201295031275
lmh,PR,189,0.4725,0.013345173479503881
lmh,PR,190,0.475,0.02395158318690235
lmh,PR,191,0.4775,0.03912790131056092
lmh,PR,192,0.48,0.05865991819241969
lmh,PR,193,0.4825,0.0816745392216214
lmh,PR,194,0.485,0.10703412953120478
lmh,PR,195,0.4875,0.1336610314997624
lmh,PR,196,0.49,0.16068234256206318
lmh,PR,197,0.4925,0.1874547384857857
lmh,PR,198,0.495,0.21353644509507633
lmh,PR,199,0.4975,0.23864449979695643
lmh,PR,200,0.5,0.2626131641912249
lmh,PR,201,0.5025,0.2853593967974528
lmh,PR,202,0.505,0.30685597459543085
lmh,PR,203,0.5075,0.3271120722324204
lmh,PR,204,0.51,0.3461602891349766
lmh,PR,205,0.5125,0.3640485257575516
lmh,PR,206,0.515,0.3808352461832835
lmh,PR,207,0.5175,0.39658684104737457
lmh,PR,208,0.52,0.4113759036529987
lmh,PR,209,0.5225,0.4252794836059545
lmh,PR,210,0.525,0.438375739042461
lmh,PR,211,0.5275,0.450739446799473
lmh,PR,212,0.53,0.4624375821723503
lmh,PR,213,0.5325,0.4735257981091739
lmh,PR,214,0.535,0.48404694414241395
lmh,PR,215,0.5375,0.4940317394446759
lmh,PR,216,0.54,0.5035011563273479
lmh,PR,217,0.5425,0.5124697257062031
lmh,PR,218,0.545,0.5209491042625476
lmh,PR,219,0.5475,0.5289512571400788
lmh,PR,220,0.55,0.536490992401823
lmh,PR,221,0.5525,0.5435876679883329
lmh,PR,222,0.555,0.5502660117034998
lmh,PR,223,0.5575,0.5565561033841402
lmh,PR,224,0.56,0.5624926596731893
lmh,PR,225,0.5625,0.5681138142232652
lmh,PR,226,0.565,0.5734595929623157
lmh,PR,227,0.5675,0.5785702553476858
lmh,PR,228,0.57,0.5834846424263589
lmh,PR,229,0.5725,0.5882386573841317
lmh,PR,230,0.575,0.5928640002823156
lmh,PR,231,0.5775,0.5973872582599015
lmh,PR,232,0.58,0.6018294477642218
lmh,PR,233,0.5825,0.6062060112665775
lmh,PR,234,0.585,0.6105271836309135
lmh,PR,235,0.5875,0.6147986452648
lmh,PR,236,0.59,0.6190223253397171
lmh,PR,237,0.5925,0.6231972308221672
lmh,PR,238,0.595,0.6273202142791654
lmh,PR,239,0.5975,0.6313866381033136
lmh,PR,240,0.6,0.6353909292091383
lmh,PR,241,0.6025,0.6393270406740406
lmh,PR,242,0.605,0.6431888448288566
lmh,PR,243,0.6075,0.6469704791522919
lmh,PR,244,0.61,0.6506666120490397
lmh,PR,245,0.6125,0.6542726757036984
lmh,PR,246,0.615,0.6577850385576871
lmh,PR,247,0.6175,0.6612011126352384
lmh,PR,248,0.62,0.6645193938051478
lmh,PR,249,0.6225,0.6677394570267701
lmh,PR,250,0.625,0.6708618924715094
lmh,PR,251,0.6275,0.673888195716843
lmh,PR,252,0.63,0.676820615779054
lmh,PR,253,0.6325,0.6796619937489529
lmh,PR,254,0.635,0.6824155997761441
lmh,PR,255,0.6375,0.6850849774875942
lmh,PR,256,0.64,0.6876738038616236
lmh,PR,257,0.6425,0.6901857693177044
lmh,PR,258,0.645,0.6926244836913228
lmh,PR,259,0.6475,0.6949934125064178
lmh,PR,260,0.65,0.6972958245291281
lmh,PR,261,0.6525,0.699534766322112
lmh,PR,262,0.655,0.701713036535352
lmh,PR,263,0.6575,0.7038331744361636
lmh,PR,264,0.66,0.705897455127892
lmh,PR,265,0.6625,0.7079078910781832
lmh,PR,266,0.665,0.7098662418460399
lmh,PR,267,0.6675,0.7117740307177434
lmh,PR,268,0.67,0.7136325693638889
lmh,PR,269,0.6725,0.7154429907975501
lmh,PR,270,0.675,0.7172062904767932
lmh,PR,271,0.6775,0.718923374777888
lmh,PR,272,0.68,0.7205951154095427
lmh,PR,273,0.6825,0.7222224075584726
lmh,PR,274,0.685,0.7238062290575638
lmh,PR,275,0.6875,0.725347693502044
lmh,PR,276,0.69,0.7268481085035553
lmh,PR,277,0.6925,0.7283090209540193
lmh,PR,278,0.695,0.729732248109884
lmh,PR,279,0.6975,0.731119897185587
lmh,PR,280,0.7,0.7324743715748111
lmh,PR,281,0.7025,0.7337983625162134
lmh,PR,282,0.705,0.7350948260287885
lmh,PR,283,0.7075,0.7363669459322306
lmh,PR,284,0.71,0.7376180846573072
lmh,PR,285,0.7125,0.7388517244259505
lmh,PR,286,0.715,0.7400714021261492
lmh,PR,287,0.7175,0.7412806417416208
lmh,PR,288,0.72,0.7424828884092688
lmh,PR,289,0.7225,0.7436814479365479
lmh,PR,290,0.725,0.7448794349528288
lmh,PR,291,0.7275,0.7460797318024246
lmh,PR,292,0.73,0.74728495898936
lmh,PR,293,0.7325,0.7484974566177655
lmh,PR,294,0.735,0.7497192750753746
lmh,PR,295,0.7375,0.7509521723738518
lmh,PR,296,0.74,0.7521976152472902
lmh,PR,297,0.7425,0.7534567813070268
lmh,PR,298,0.745,0.7547305601795062
lmh,PR,299,0.7475,0.7560195492980005
lmh,PR,300,0.75,0.7573240554815136
lmh,PR,301,0.7525,0.7586440926841918
lmh,PR,302,0.755,0.759979377282379
lmh,PR,303,0.7575,0.7613293274785553
lmh,PR,304,0.76,0.7626930687696712
lmh,PR,305,0.7625,0.764069446857769
lmh,PR,306,0.765,0.765457048811231
lmh,PR,307,0.7675,0.7668542324755337
lmh,PR,308,0.77,0.7682591633060429
lmh,PR,309,0.7725,0.7696698570403065
lmh,PR,310,0.775,0.7710842261183183
lmh,PR,311,0.7775,0.7725001275071172
lmh,PR,312,0.78,0.7739154096036742
lmh,PR,313,0.7825,0.7753279561272914
lmh,PR,314,0.785,0.7767357253074124
lmh,PR,315,0.7875,0.7781367831682305
lmh,PR,316,0.79,0.7795293302120581
lmh,PR,317,0.7925,0.7809117212855373
lmh,PR,318,0.795,0.7822824788148864
lmh,PR,319,0.7975,0.7836402999111843
lmh,PR,320,0.8,0.7849840580638258
lmh,PR,321,0.8025,0.7863128002693047
lmh,PR,322,0.805,0.787625740483494
lmh,PR,323,0.8075,0.7889222502724165
lmh,PR,324,0.81,0.7902018474737138
lmh,PR,325,0.8125,0.7914641835920972
lmh,PR,326,0.815,0.7927090305455057
lmh,PR,327,0.8175,0.7939362672600921
lmh,PR,328,0.82,0.795145866518856
lmh,PR,329,0.8225,0.7963378823579997
lmh,PR,330,0.825,0.7975124382221345
lmh,PR,331,0.8275,0.7986697160153629
lmh,PR,332,0.83,0.7998099461233108
lmh,PR,333,0.8325,0.8009333984351049
lmh,PR,334,0.835,0.8020403743589797
lmh,PR,335,0.8375,0.8031311997939784
lmh,PR,336,0.84,0.804206219006137
lmh,PR,337,0.8425,0.8052657893419636
lmh,PR,338,0.845,0.8063102767080389
lmh,PR,339,0.8475,0.8073400517420213
lmh,PR,340,0.85,0.808355486601334
lmh,PR,341,0.8525,0.8093569522982282
lmh,PR,342,0.855,0.8103448165147836
lmh,PR,343,0.8575,0.8113194418346802
lmh,PR,344,0.86,0.8122811843339532
lmh,PR,345,0.8625,0.8132303924825669
lmh,PR,346,0.865,0.8141674063091775
lmh,PR,347,0.8675,0.8150925567855486
lmh,PR,348,0.87,0.8160061654000756
lmh,PR,349,0.8725,0.8169085438869178
lmh,PR,350,0.875,0.8177999940838232
lmh,PR,351,0.8775,0.8186808078954053
lmh,PR,352,0.88,0.8195512673428982
lmh,PR,353,0.8825,0.8204116446807445
lmh,PR,354,0.885,0.821262202568781
lmh,PR,355,0.8875,0.8221031942863195
lmh,PR,356,0.89,0.8229348639772289
lmh,PR,357,0.8925,0.8237574469173987
lmh,PR,358,0.895,0.824571169798875
lmh,PR,359,0.8975,0.8253762510237798
lmh,PR,360,0.9,0.8261729010040403
lmh,PR,361,0.9025,0.8269613224616318
lmh,PR,362,0.905,0.8277417107290149
lmh,PR,363,0.9075,0.8285142540454695
lmh,PR,364,0.91,0.8292791338478489
lmh,PR,365,0.9125,0.8300365250555347
lmh,PR,366,0.915,0.8307865963473469
lmh,PR,367,0.9175,0.831529510429283
lmh,PR,368,0.92,0.8322654242951719
lmh,PR,369,0.9225,0.8329944894761856
lmh,PR,370,0.925,0.8337168522822725
lmh,PR,371,0.9275,0.8344326540332923
lmh,PR,372,0.93,0.8351420312810954
lmh,PR,373,0.9325,0.8358451160206309
lmh,PR,374,0.935,0.8365420358928055
lmh,PR,375,0.9375,0.8372329143776028
lmh,PR,376,0.94,0.8379178709775997
lmh,PR,377,0.9425,0.8385970213929805
lmh,PR,378,0.945,0.8392704776879325
lmh,PR,379,0.9475,0.8399383484494699
lmh,PR,380,0.95,0.8406007389380286
lmh,PR,381,0.9525,0.841257751229471
lmh,PR,382,0.955,0.8419094843507077
lmh,PR,383,0.9575,0.8425560344088199
lmh,PR,384,0.96,0.8431974947141724
lmh,PR,385,0.9625,0.8438339558971781
lmh,PR,386,0.965,0.8444655060191321
lmh,PR,387,0.9675,0.8450922306786758
lmh,PR,388,0.97,0.8457142131128016
lmh,PR,389,0.9725,0.8463315342935929
lmh,PR,390,0.975,0.8469442730199981
lmh,PR,391,0.9775,0.8475525060054363
lmh,PR,392,0.98,0.8481563079612269
lmh,PR,393,0.9825,0.8487557516754308
lmh,PR,394,0.985,0.8493509080880032
lmh,PR,395,0.9875,0.8499418463622238
lmh,PR,396,0.99,0.8505286339527065
lmh,PR,397,0.9925,0.8511113366696671
lmh,PR,398,0.995,0.8516900187391492
lmh,PR,399,0.9975,0.8522647428613955
lmh,PR,400,1.0,0.8528355702656338
lmh,CPA,1,0.0025,0.6066441958061087
lmh,CPA,2,0.005,0.6057243073063523
lmh,CPA,3,0.0075,0.6049082972443377
lmh,CPA,4,0.01,0.6041268896666088
lmh,CPA,5,0.0125,0.6033890181862548
lmh,CPA,6,0.015,0.6026596778063289
lmh,CPA,7,0.0175,0.6020259446027959
lmh,CPA,8,0.02,0.6013856171367161
lmh,CPA,9,0.0225,0.6007778715981403
lmh,CPA,10,0.025,0.6002057817851326
lmh,CPA,11,0.0275,0.5996621011447698
lmh,CPA,12,0.03,0.599172467607633
lmh,CPA,13,0.0325,0.598671318339936
lmh,CPA,14,0.035,0.5981904760471551
lmh,CPA,15,0.0375,0.5977527266172175
lmh,CPA,16,0.04,0.5973115303755148
lmh,CPA,17,0.0425,0.5969038711780983
lmh,CPA,18,0.045,0.5964766846605885
lmh,CPA,19,0.0475,0.5960854892070037
lmh,CPA,20,0.05,0.5957222610470727
lmh,CPA,21,0.0525,0.5953550534782396
lmh,CPA,22,0.055,0.5950272555570542
lmh,CPA,23,0.0575,0.5947048135296006
lmh,CPA,24,0.06,0.5944004959324584
lmh,CPA,25,0.0625,0.5941009241192882
lmh,CPA,26,0.065,0.5938115068724621
lmh,CPA,27,0.0675,0.5935442183190742
lmh,CPA,28,0.07,0.5932810734986425
lmh,CPA,29,0.0725,0.5930274009728063
lmh,CPA,30,0.075,0.5927741688957583
lmh,CPA,31,0.0775,0.5925430455676408
lmh,CPA,32,0.08,0.5923107875819384
lmh,CPA,33,0.0825,0.5920880295762581
lmh,CPA,34,0.085,0.5918679330428545
lmh,CPA,35,0.0875,0.591652644811618
lmh,CPA,36,0.09,0.5914539520100268
lmh,CPA,37,0.0925,0.5912466689736796
lmh,CPA,38,0.095,0.5910526748887454
lmh,CPA,39,0.0975,0.5908678351964922
lmh,CPA,40,0.1,0.5906800431622172
lmh,CPA,41,0.1025,0.5905012273678112
lmh,CPA,42,0.105,0.5903201736867816
lmh,CPA,43,0.1075,0.5901536734170764
lmh,CPA,44,0.11,0.5899907126752384
lmh,CPA,45,0.1125,0.5898234372224255
lmh,CPA,46,0.115,0.5896666283226817
lmh,CPA,47,0.1175,0.589514363908449
lmh,CPA,48,0.12,0.5893656709651158
lmh,CPA,49,0.1225,0.5892155267397395
lmh,CPA,50,0.125,0.5890746927401543
lmh,CPA,51,0.1275,0.5889368200706653
lmh,CPA,52,0.13,0.5888006307689854
lmh,CPA,53,0.1325,0.5886683236892299
lmh,CPA,54,0.135,0.5885404509001794
lmh,CPA,55,0.1375,0.5884178055522726
lmh,CPA,56,0.14,0.5882923721451021
lmh,CPA,57,0.1425,0.5881765871248914
lmh,CPA,58,0.145,0.5880642734989311
lmh,CPA,59,0.1475,0.5879512211376317
lmh,CPA,60,0.15,0.5878476476966037
lmh,CPA,61,0.1525,0.5877464275908348
lmh,CPA,62,0.155,0.5876510541417325
lmh,CPA,63,0.1575,0.5875567945391378
lmh,CPA,64,0.16,0.5874687645334284
lmh,CPA,65,0.1625,0.5873904794273046
lmh,CPA,66,0.165,0.5873155620122869
lmh,CPA,67,0.1675,0.5872494026223437
lmh,CPA,68,0.17,0.5871896846776802
lmh,CPA,69,0.1725,0.5871373482926737
lmh,CPA,70,0.175,0.5870929723472256
lmh,CPA,71,0.1775,0.5870581915730776
lmh,CPA,72,0.18,0.5870315007479753
lmh,CPA,73,0.1825,0.5870147901304941
lmh,CPA,74,0.185,0.5870077050387649
lmh,CPA,75,0.1875,0.5870065055393476
lmh,CPA,76,0.19,0.5870111978486071
lmh,CPA,77,0.1925,0.5870204030375327
lmh,CPA,78,0.195,0.5870318094835069
lmh,CPA,79,0.1975,0.5870389494745774
lmh,CPA,80,0.2,0.5870376157530447
lmh,CPA,81,0.2025,0.5870201365459305
lmh,CPA,82,0.205,0.5869756097204364
lmh,CPA,83,0.2075,0.5868940339667499
lmh,CPA,84,0.21,0.586756841663211
lmh,CPA,85,0.2125,0.586546159972011
lmh,CPA,86,0.215,0.5862372880919156
lmh,CPA,87,0.2175,0.5858002664623801
lmh,CPA,88,0.22,0.5851989680622578
lmh,CPA,89,0.2225,0.5843879125367673
lmh,CPA,90,0.225,0.5833157255395186
lmh,CPA,91,0.2275,0.5819172983656395
lmh,CPA,92,0.23,0.5801206553278933
lmh,CPA,93,0.2325,0.5778385953981305
lmh,CPA,94,0.235,0.5749737764944564
lmh,CPA,95,0.2375,0.5714177097498626
lmh,CPA,96,0.24,0.5670515065886117
lmh,CPA,97,0.2425,0.5617507420453106
lmh,CPA,98,0.245,0.55539111637005
lmh,CPA,99,0.2475,0.5478545336752668
lmh,CPA,100,0.25,0.5390404168890236
lmh,CPA,101,0.2525,0.5288752522937744
lmh,CPA,102,0.255,0.5173246438912326
lmh,CPA,103,0.2575,0.5044022250088936
lmh,CPA,104,0.26,0.4901764059883176
lmh,CPA,105,0.2625,0.4747713491882732
lmh,CPA,106,0.265,0.45836298488948185
lmh,CPA,107,0.2675,0.44116671641535515
lmh,CPA,108,0.27,0.423195486602057
lmh,CPA,109,0.2725,2.337440461518039e-07
lmh,CPA,110,0.275,8.666565686556361e-07
lmh,CPA,111,0.2775,1.937087422858652e-06
lmh,CPA,112,0.28,3.477103574304756e-06
lmh,CPA,113,0.2825,5.521720666761556e-06
lmh,CPA,114,0.285,8.108902544134843e-06
lmh,CPA,115,0.2875,1.1285759864051234e-05
lmh,CPA,116,0.29,1.5066737749565378e-05
lmh,CPA,117,0.2925,1.9503543962330603e-05
lmh,CPA,118,0.295,2.465170119063748e-05
lmh,CPA,119,0.2975,3.052730759169349e-05
lmh,CPA,120,0.3,3.714670346572969e-05
lmh,CPA,121,0.3025,4.457935849839064e-05
lmh,CPA,122,0.305,5.281094437946741e-05
lmh,CPA,123,0.3075,6.18905198961038e-05
lmh,CPA,124,0.31,7.18266469524797e-05
lmh,CPA,125,0.3125,8.266311079546966e-05
lmh,CPA,126,0.315,9.443701728066647e-05
lmh,CPA,127,0.3175,0.00010716560168697936
lmh,CPA,128,0.32,0.00012086419322574836
lmh,CPA,129,0.3225,0.000135684836403282
lmh,CPA,130,0.325,0.00015241743477844753
lmh,CPA,131,0.3275,0.0001769124060645586
lmh,CPA,132,0.33,0.0002456931215051091
lmh,CPA,133,0.3325,0.0005638518159863502
lmh,CPA,134,0.335,0.0019477815506159651
lmh,CPA,135,0.3375,0.006044270347179936
lmh,CPA,136,0.34,0.014469230327357032
lmh,CPA,137,0.3425,0.028481816616906158
lmh,CPA,138,0.345,0.04844334114378147
lmh,CPA,139,0.3475,0.07330050778199361
lmh,CPA,140,0.35,0.10132281554547062
lmh,CPA,141,0.3525,0.1308650312621961
lmh,CPA,142,0.355,0.16067032981708101
lmh,CPA,143,0.3575,0.1898925205663136
lmh,CPA,144,0.36,0.21800881960331514
lmh,CPA,145,0.3625,0.2447363947283733
lmh,CPA,146,0.365,0.26995018349634864
lmh,CPA,147,0.3675,0.29360531841526566
lmh,CPA,148,0.37,0.31573758855273376
lmh,CPA,149,0.3725,0.33641844689295075
lmh,CPA,150,0.375,0.35573716838433356
lmh,CPA,151,0.3775,0.3738116709447458
lmh,CPA,152,0.38,0.39072478349309786
lmh,CPA,153,0.3825,0.4065702791037078
lmh,CPA,154,0.385,0.421413858981278
lmh,CPA,155,0.3875,0.4353144074490878
lmh,CPA,156,0.39,0.4483309170491246
lmh,CPA,157,0.3925,0.46051801343249454
lmh,CPA,158,0.395,0.47195482018017754
lmh,CPA,159,0.3975,0.48271620182658403
lmh,CPA,160,0.4,0.4928906947333396
lmh,CPA,161,0.4025,0.5025497322556994
lmh,CPA,162,0.405,0.5117680380080593
lmh,CPA,163,0.4075,0.5206052027532753
lmh,CPA,164,0.41,0.5291079013566873
lmh,CPA,165,0.4125,0.5373025822201104
lmh,CPA,166,0.415,0.5452094436116043
lmh,CPA,167,0.4175,0.552842161889497
lmh,CPA,168,0.42,0.560197795023312
lmh,CPA,169,0.4225,0.5672751866422
lmh,CPA,170,0.425,0.5740725882498442
lmh,CPA,171,0.4275,0.5805832241004651
lmh,CPA,172,0.43,0.5868013492223002
lmh,CPA,173,0.4325,0.5927306898619151
lmh,CPA,174,0.435,0.5983697659909335
lmh,CPA,175,0.4375,0.6037246356531712
lmh,CPA,176,0.44,0.6088092605219363
lmh,CPA,177,0.4425,0.6136354253962931
lmh,CPA,178,0.445,0.6182231230788278
lmh,CPA,179,0.4475,0.6225924574478507
lmh,CPA,180,0.45,0.6267661202930201
lmh,CPA,181,0.4525,0.6307694512321952
lmh,CPA,182,0.455,0.6346249988423251
lmh,CPA,183,0.4575,0.6383584879975608
lmh,CPA,184,0.46,0.6419908279676981
lmh,CPA,185,0.4625,0.645543030961116
lmh,CPA,186,0.465,0.6490349896639203
lmh,CPA,187,0.4675,0.652480909923352
lmh,CPA,188,0.47,0.6558959192376479
lmh,CPA,189,0.4725,0.6592910373797809
lmh,CPA,190,0.475,0.6626755703842964
lmh,CPA,191,0.4775,0.6660582610793326
lmh,CPA,192,0.48,0.6694442105723526
lmh,CPA,193,0.4825,0.6728396877890694
lmh,CPA,194,0.485,0.6762500513855609
lmh,CPA,195,0.4875,0.6796795908023743
lmh,CPA,196,0.49,0.6831271445955077
lmh,CPA,197,0.4925,0.6865522410195521
lmh,CPA,198,0.495,0.6898481598163293
lmh,CPA,199,0.4975,0.693030818606223
lmh,CPA,200,0.5,0.6960266311407263
lmh,CPA,201,0.5025,0.6983851696739133
lmh,CPA,202,0.505,0.7006198023177159
lmh,CPA,203,0.5075,0.7027839864522155
