system,eos,step,pvi,component,mass_rate_kg_s,total_mass_fraction,hydrocarbon_normalized_mass_fraction,reservoir_watercut
binary,PR,20,0.05,H2O,5.026908762084414e-07,0.10285390044748825,0.0,0.004369637264690187
binary,PR,20,0.05,Heavy_squalane,4.384735599806328e-06,0.8971460995525118,1.0,0.004369637264690187
binary,PR,21,0.0525,H2O,5.026908422618674e-07,0.102853887485484,0.0,0.0043696463595948335
binary,PR,21,0.0525,Heavy_squalane,4.384735919636785e-06,0.8971461125145159,1.0,0.0043696463595948335
binary,PR,22,0.055,H2O,5.026908084495345e-07,0.10285387452018202,0.0,0.004369655587483066
binary,PR,22,0.055,Heavy_squalane,4.384736240794939e-06,0.897146125479818,1.0,0.004369655587483066
binary,PR,23,0.0575,H2O,5.026907748944625e-07,0.1028538615444129,0.0,0.00436966493911823
binary,PR,23,0.0575,Heavy_squalane,4.384736564694511e-06,0.8971461384555871,1.0,0.00436966493911823
binary,PR,24,0.06,H2O,5.026907411623964e-07,0.10285384855212419,0.0,0.004369674406653361
binary,PR,24,0.06,Heavy_squalane,4.384736887835299e-06,0.8971461514478759,1.0,0.004369674406653361
binary,PR,25,0.0625,H2O,5.02690707802944e-07,0.10285383553819265,0.0,0.004369683983368653
binary,PR,25,0.0625,Heavy_squalane,4.384737215254725e-06,0.8971461644618074,1.0,0.004369683983368653
binary,PR,26,0.065,H2O,5.026906742468501e-07,0.10285382249825648,0.0,0.004369693663497667
binary,PR,26,0.065,Heavy_squalane,4.384737542194706e-06,0.8971461775017435,1.0,0.004369693663497667
binary,PR,27,0.0675,H2O,5.026906407676517e-07,0.10285380942859716,0.0,0.00436970344205689
binary,PR,27,0.0675,Heavy_squalane,4.384737871217876e-06,0.8971461905714028,1.0,0.00436970344205689
binary,PR,28,0.07,H2O,5.026906072200531e-07,0.10285379632603163,0.0,0.004369713314729602
binary,PR,28,0.07,Heavy_squalane,4.384738201208143e-06,0.8971462036739684,1.0,0.004369713314729602
binary,PR,29,0.0725,H2O,5.026905736003051e-07,0.10285378318783325,0.0,0.004369723277756786
binary,PR,29,0.0725,Heavy_squalane,4.384738532262369e-06,0.8971462168121668,1.0,0.004369723277756786
binary,PR,30,0.075,H2O,5.026905401859569e-07,0.1028537700116594,0.0,0.004369733327862847
binary,PR,30,0.075,Heavy_squalane,4.384738866912805e-06,0.8971462299883406,1.0,0.004369733327862847
binary,PR,31,0.0775,H2O,5.026905065550426e-07,0.10285375679550081,0.0,0.004369743462173167
binary,PR,31,0.0775,Heavy_squalane,4.384739201574317e-06,0.8971462432044992,1.0,0.004369743462173167
binary,PR,32,0.08,H2O,5.026904728467544e-07,0.10285374353762657,0.0,0.0043697536781729975
binary,PR,32,0.08,Heavy_squalane,4.384739537543263e-06,0.8971462564623733,1.0,0.0043697536781729975
binary,PR,33,0.0825,H2O,5.026904393413126e-07,0.10285373023655575,0.0,0.004369763973641087
binary,PR,33,0.0825,Heavy_squalane,4.38473987733425e-06,0.8971462697634442,1.0,0.004369763973641087
binary,PR,34,0.085,H2O,5.026904054786011e-07,0.10285371689101211,0.0,0.004369774346628078
binary,PR,34,0.085,Heavy_squalane,4.384740216122288e-06,0.8971462831089879,1.0,0.004369774346628078
binary,PR,35,0.0875,H2O,5.026903716801061e-07,0.10285370349990935,0.0,0.0043697847954032405
binary,PR,35,0.0875,Heavy_squalane,4.384740557635426e-06,0.8971462965000907,1.0,0.0043697847954032405
binary,PR,36,0.09,H2O,5.026903378070469e-07,0.10285369006231355,0.0,0.004369795318445206
binary,PR,36,0.09,Heavy_squalane,4.384740900707524e-06,0.8971463099376865,1.0,0.004369795318445206
binary,PR,37,0.0925,H2O,5.026903037212946e-07,0.10285367657743803,0.0,0.0043698059143945185
binary,PR,37,0.0925,Heavy_squalane,4.384741244171128e-06,0.897146323422562,1.0,0.0043698059143945185
binary,PR,38,0.095,H2O,5.026902697051499e-07,0.10285366304460952,0.0,0.004369816582057476
binary,PR,38,0.095,Heavy_squalane,4.384741590520614e-06,0.8971463369553904,1.0,0.004369816582057476
binary,PR,39,0.0975,H2O,5.026902356211207e-07,0.10285364946327057,0.0,0.004369827320362363
binary,PR,39,0.0975,Heavy_squalane,4.384741938583192e-06,0.8971463505367295,1.0,0.004369827320362363
binary,PR,40,0.1,H2O,5.026902013316358e-07,0.10285363583294761,0.0,0.004369838128370428
binary,PR,40,0.1,Heavy_squalane,4.384742287181392e-06,0.8971463641670524,1.0,0.004369838128370428
binary,PR,41,0.1025,H2O,5.026901669800146e-07,0.10285362215326191,0.0,0.004369849005227764
binary,PR,41,0.1025,Heavy_squalane,4.384742637583321e-06,0.897146377846738,1.0,0.004369849005227764
binary,PR,42,0.105,H2O,5.026901325692499e-07,0.10285360842389642,0.0,0.004369859950191586
binary,PR,42,0.105,Heavy_squalane,4.384742989830156e-06,0.8971463915761037,1.0,0.004369859950191586
binary,PR,43,0.1075,H2O,5.026900979627586e-07,0.10285359464460958,0.0,0.004369870962583078
binary,PR,43,0.1075,Heavy_squalane,4.384743342742018e-06,0.8971464053553905,1.0,0.004369870962583078
binary,PR,44,0.11,H2O,5.026900634440953e-07,0.1028535808152056,0.0,0.004369882041813403
binary,PR,44,0.11,Heavy_squalane,4.384743698801535e-06,0.8971464191847943,1.0,0.004369882041813403
binary,PR,45,0.1125,H2O,5.026900287368105e-07,0.10285356693554966,0.0,0.0043698931873411735
binary,PR,45,0.1125,Heavy_squalane,4.384744055603768e-06,0.8971464330644504,1.0,0.0043698931873411735
binary,PR,46,0.115,H2O,5.026899939845838e-07,0.10285355300554072,0.0,0.004369904398697341
binary,PR,46,0.115,Heavy_squalane,4.384744414406772e-06,0.8971464469944593,1.0,0.004369904398697341
binary,PR,47,0.1175,H2O,5.026899590512425e-07,0.10285353902512642,0.0,0.004369915675450926
binary,PR,47,0.1175,Heavy_squalane,4.384744774025262e-06,0.8971464609748737,1.0,0.004369915675450926
binary,PR,48,0.12,H2O,5.026899240806994e-07,0.10285352499428162,0.0,0.004369927017225556
binary,PR,48,0.12,Heavy_squalane,4.384745135715721e-06,0.8971464750057184,1.0,0.004369927017225556
binary,PR,49,0.1225,H2O,5.026898889369077e-07,0.10285351091301836,0.0,0.004369938423675648
binary,PR,49,0.1225,Heavy_squalane,4.384745498290903e-06,0.8971464890869817,1.0,0.004369938423675648
binary,PR,50,0.125,H2O,5.026898537639463e-07,0.10285349678137079,0.0,0.004369949894499795
binary,PR,50,0.125,Heavy_squalane,4.384745863005922e-06,0.8971465032186292,1.0,0.004369949894499795
binary,PR,51,0.1275,H2O,5.026898184258201e-07,0.10285348259940026,0.0,0.004369961429421376
binary,PR,51,0.1275,Heavy_squalane,4.384746228671639e-06,0.8971465174005998,1.0,0.004369961429421376
binary,PR,52,0.13,H2O,5.026897830667764e-07,0.10285346836718784,0.0,0.0043699730281942855
binary,PR,52,0.13,Heavy_squalane,4.38474659654241e-06,0.8971465316328122,1.0,0.0043699730281942855
binary,PR,53,0.1325,H2O,5.026897475507322e-07,0.10285345408483017,0.0,0.004369984690602735
binary,PR,53,0.1325,Heavy_squalane,4.384746965426648e-06,0.8971465459151698,1.0,0.004369984690602735
binary,PR,54,0.135,H2O,5.026897120222147e-07,0.10285343975244948,0.0,0.004369996416437492
binary,PR,54,0.135,Heavy_squalane,4.384747336579196e-06,0.8971465602475506,1.0,0.004369996416437492
binary,PR,55,0.1375,H2O,5.026896763451487e-07,0.10285342537017128,0.0,0.004370008205525401
binary,PR,55,0.1375,Heavy_squalane,4.384747708807166e-06,0.8971465746298287,1.0,0.004370008205525401
binary,PR,56,0.14,H2O,5.026896405239613e-07,0.10285341093814448,0.0,0.004370020057695078
binary,PR,56,0.14,Heavy_squalane,4.384748082142099e-06,0.8971465890618556,1.0,0.004370020057695078
binary,PR,57,0.1425,H2O,5.026896045626313e-07,0.10285339645651526,0.0,0.00437003197281134
binary,PR,57,0.1425,Heavy_squalane,4.384748456611754e-06,0.8971466035434846,1.0,0.00437003197281134
binary,PR,58,0.145,H2O,5.026895686058292e-07,0.10285338192545548,0.0,0.004370043950725559
binary,PR,58,0.145,Heavy_squalane,4.384748833469865e-06,0.8971466180745445,1.0,0.004370043950725559
binary,PR,59,0.1475,H2O,5.026895325173282e-07,0.10285336734512579,0.0,0.0043700559913313125
binary,PR,59,0.1475,Heavy_squalane,4.384749211520551e-06,0.8971466326548743,1.0,0.0043700559913313125
binary,PR,60,0.15,H2O,5.026894964418915e-07,0.10285335271571572,0.0,0.004370068094499365
binary,PR,60,0.15,Heavy_squalane,4.384749592017515e-06,0.8971466472842843,1.0,0.004370068094499365
binary,PR,61,0.1525,H2O,5.026894601032498e-07,0.10285333803740154,0.0,0.004370080260139755
binary,PR,61,0.1525,Heavy_squalane,4.384749972542602e-06,0.8971466619625985,1.0,0.004370080260139755
binary,PR,62,0.155,H2O,5.026894236463468e-07,0.10285332331038885,0.0,0.0043700924881300745
binary,PR,62,0.155,Heavy_squalane,4.384750354350325e-06,0.8971466766896111,1.0,0.0043700924881300745
binary,PR,63,0.1575,H2O,5.026893872151775e-07,0.10285330853486013,0.0,0.004370104778399187
binary,PR,63,0.1575,Heavy_squalane,4.384750738688023e-06,0.8971466914651398,1.0,0.004370104778399187
binary,PR,64,0.16,H2O,5.026893506743178e-07,0.10285329371102561,0.0,0.0043701171308429656
binary,PR,64,0.16,Heavy_squalane,4.384751124364459e-06,0.8971467062889744,1.0,0.0043701171308429656
binary,PR,65,0.1625,H2O,5.026893140277787e-07,0.1028532788390784,0.0,0.004370129545393928
binary,PR,65,0.1625,Heavy_squalane,4.384751511405444e-06,0.8971467211609216,1.0,0.004370129545393928
binary,PR,66,0.165,H2O,5.026892772798771e-07,0.10285326391922309,0.0,0.004370142021973652
binary,PR,66,0.165,Heavy_squalane,4.384751899838912e-06,0.897146736080777,1.0,0.004370142021973652
binary,PR,67,0.1675,H2O,5.026892405751417e-07,0.10285324895166888,0.0,0.004370154560502666
binary,PR,67,0.1675,Heavy_squalane,4.384752290915587e-06,0.8971467510483312,1.0,0.004370154560502666
binary,PR,68,0.17,H2O,5.026892036373639e-07,0.10285323393661558,0.0,0.00437016716092151
binary,PR,68,0.17,Heavy_squalane,4.384752682216722e-06,0.8971467660633845,1.0,0.00437016716092151
binary,PR,69,0.1725,H2O,5.026891666110468e-07,0.10285321887427436,0.0,0.004370179823155245
binary,PR,69,0.1725,Heavy_squalane,4.384753074992724e-06,0.8971467811257255,1.0,0.004370179823155245
binary,PR,70,0.175,H2O,5.026891295006502e-07,0.10285320376485933,0.0,0.004370192547127671
binary,PR,70,0.175,Heavy_squalane,4.384753469272322e-06,0.8971467962351407,1.0,0.004370192547127671
binary,PR,71,0.1775,H2O,5.026890921705322e-07,0.10285318860858571,0.0,0.004370205332762381
binary,PR,71,0.1775,Heavy_squalane,4.384753863862141e-06,0.8971468113914143,1.0,0.004370205332762381
binary,PR,72,0.18,H2O,5.026890550444739e-07,0.10285317340563815,0.0,0.0043702181800311215
binary,PR,72,0.18,Heavy_squalane,4.384754262449877e-06,0.897146826594362,1.0,0.0043702181800311215
binary,PR,73,0.1825,H2O,5.026890175671697e-07,0.10285315815625232,0.0,0.0043702310888260884
binary,PR,73,0.1825,Heavy_squalane,4.384754660180628e-06,0.8971468418437477,1.0,0.0043702310888260884
binary,PR,74,0.185,H2O,5.026889801626088e-07,0.10285314286061865,0.0,0.004370244059108774
binary,PR,74,0.185,Heavy_squalane,4.384755060743631e-06,0.8971468571393814,1.0,0.004370244059108774
binary,PR,75,0.1875,H2O,5.026889425548746e-07,0.1028531275189471,0.0,0.0043702570908088325
binary,PR,75,0.1875,Heavy_squalane,4.384755461722202e-06,0.897146872481053,1.0,0.0043702570908088325
binary,PR,76,0.19,H2O,5.026889050279969e-07,0.10285311213143189,0.0,0.004370270183879678
binary,PR,76,0.19,Heavy_squalane,4.384755865584591e-06,0.8971468878685681,1.0,0.004370270183879678
binary,PR,77,0.1925,H2O,5.026888673069617e-07,0.10285309669830785,0.0,0.004370283338207111
binary,PR,77,0.1925,Heavy_squalane,4.384756269920802e-06,0.8971469033016921,1.0,0.004370283338207111
binary,PR,78,0.195,H2O,5.026888293946603e-07,0.10285308121974117,0.0,0.00437029655378287
binary,PR,78,0.195,Heavy_squalane,4.38475667474816e-06,0.8971469187802589,1.0,0.00437029655378287
binary,PR,79,0.1975,H2O,5.026887915757156e-07,0.10285306569594022,0.0,0.0043703098305282635
binary,PR,79,0.1975,Heavy_squalane,4.384757082539416e-06,0.8971469343040598,1.0,0.0043703098305282635
binary,PR,80,0.2,H2O,5.02688753574491e-07,0.1028530501271192,0.0,0.004370323168354264
binary,PR,80,0.2,Heavy_squalane,4.384757490880124e-06,0.8971469498728808,1.0,0.004370323168354264
binary,PR,81,0.2025,H2O,5.02688715534827e-07,0.10285303451346478,0.0,0.004370336567208869
binary,PR,81,0.2025,Heavy_squalane,4.384757901016079e-06,0.8971469654865353,1.0,0.004370336567208869
binary,PR,82,0.205,H2O,5.026886773201835e-07,0.10285301885515861,0.0,0.004370350027045381
binary,PR,82,0.205,Heavy_squalane,4.384758311747664e-06,0.8971469811448415,1.0,0.004370350027045381
binary,PR,83,0.2075,H2O,5.026886390748834e-07,0.1028530031523991,0.0,0.004370363547786274
binary,PR,83,0.2075,Heavy_squalane,4.384758724324324e-06,0.8971469968476009,1.0,0.004370363547786274
binary,PR,84,0.21,H2O,5.026886008039632e-07,0.10285298740540799,0.0,0.00437037712931546
binary,PR,84,0.21,Heavy_squalane,4.384759138779456e-06,0.897147012594592,1.0,0.00437037712931546
binary,PR,85,0.2125,H2O,5.02688562369756e-07,0.10285297161433037,0.0,0.004370390771631165
binary,PR,85,0.2125,Heavy_squalane,4.384759553905351e-06,0.8971470283856696,1.0,0.004370390771631165
binary,PR,86,0.215,H2O,5.026885240571329e-07,0.10285295577937592,0.0,0.004370404474635083
binary,PR,86,0.215,Heavy_squalane,4.384759972176866e-06,0.8971470442206241,1.0,0.004370404474635083
binary,PR,87,0.2175,H2O,5.026884854498186e-07,0.10285293990073997,0.0,0.004370418238255997
binary,PR,87,0.2175,Heavy_squalane,4.384760389953713e-06,0.89714706009926,1.0,0.004370418238255997
binary,PR,88,0.22,H2O,5.02688446832454e-07,0.10285292397863927,0.0,0.004370432062426206
binary,PR,88,0.22,Heavy_squalane,4.384760809708405e-06,0.8971470760213608,1.0,0.004370432062426206
binary,PR,89,0.2225,H2O,5.026884082075673e-07,0.10285290801326881,0.0,0.004370445947212954
binary,PR,89,0.2225,Heavy_squalane,4.384761231453731e-06,0.8971470919867313,1.0,0.004370445947212954
binary,PR,90,0.225,H2O,5.026883693003471e-07,0.10285289200500518,0.0,0.004370459892697441
binary,PR,90,0.225,Heavy_squalane,4.384761652774721e-06,0.8971471079949949,1.0,0.004370459892697441
binary,PR,91,0.2275,H2O,5.02688330396952e-07,0.10285287595451484,0.0,0.0043704738993513015
binary,PR,91,0.2275,Heavy_squalane,4.384762076135759e-06,0.8971471240454851,1.0,0.0043704738993513015
binary,PR,92,0.23,H2O,5.026882915041135e-07,0.10285285986326169,0.0,0.004370487968771663
binary,PR,92,0.23,Heavy_squalane,4.384762501526e-06,0.8971471401367382,1.0,0.004370487968771663
binary,PR,93,0.2325,H2O,5.02688252496328e-07,0.10285284373511165,0.0,0.004370502105457828
binary,PR,93,0.2325,Heavy_squalane,4.384762927667021e-06,0.8971471562648884,1.0,0.004370502105457828
binary,PR,94,0.235,H2O,5.026882135491129e-07,0.10285282758062275,0.0,0.004370516322101459
binary,PR,94,0.235,Heavy_squalane,4.384763355588091e-06,0.8971471724193774,1.0,0.004370516322101459
binary,PR,95,0.2375,H2O,5.026881747533953e-07,0.10285281142900801,0.0,0.004370530654444452
binary,PR,95,0.2375,Heavy_squalane,4.384763784694162e-06,0.8971471885709921,1.0,0.004370530654444452
binary,PR,96,0.24,H2O,5.026881364928618e-07,0.10285279536158094,0.0,0.004370545202823672
binary,PR,96,0.24,Heavy_squalane,4.384764214468064e-06,0.897147204638419,1.0,0.004370545202823672
binary,PR,97,0.2425,H2O,5.026880998693519e-07,0.10285277960560732,0.0,0.004370560247609109
binary,PR,97,0.2425,Heavy_squalane,4.384764643721318e-06,0.8971472203943927,1.0,0.004370560247609109
binary,PR,98,0.245,H2O,5.026880678975084e-07,0.10285276479572389,0.0,0.0043705765725659046
binary,PR,98,0.245,Heavy_squalane,4.384765068592291e-06,0.8971472352042761,1.0,0.0043705765725659046
binary,PR,99,0.2475,H2O,5.026880489382449e-07,0.1028527527036508,0.0,0.004370596366479101
binary,PR,99,0.2475,Heavy_squalane,4.384765477819934e-06,0.8971472472963492,1.0,0.004370596366479101
binary,PR,100,0.25,H2O,5.026880673786584e-07,0.10285274827262432,0.0,0.004370625736942716
binary,PR,100,0.25,Heavy_squalane,4.384765849226658e-06,0.8971472517273756,1.0,0.004370625736942716
binary,PR,101,0.2525,H2O,5.0268818934184e-07,0.10285276528707159,0.0,0.0043706817154900235
binary,PR,101,0.2525,Heavy_squalane,4.384766104558676e-06,0.8971472347129283,1.0,0.0043706817154900235
binary,PR,102,0.255,H2O,5.02688600083292e-07,0.10285284215772648,0.0,0.00437081176195645
binary,PR,102,0.255,Heavy_squalane,4.384766034494633e-06,0.8971471578422736,1.0,0.00437081176195645
binary,PR,103,0.2575,H2O,5.026898156112967e-07,0.10285308584685994,0.0,0.0043711480391046805
binary,PR,103,0.2575,Heavy_squalane,4.384765057252332e-06,0.8971469141531401,1.0,0.0043711480391046805
binary,PR,104,0.26,H2O,5.02693272609645e-07,0.10285379412446469,0.0,0.0043720584734876795
binary,PR,104,0.26,Heavy_squalane,4.384761554786702e-06,0.8971462058755354,1.0,0.0043720584734876795
binary,PR,105,0.2625,H2O,5.027029648717461e-07,0.10285579497333731,0.0,0.004374566126629621
binary,PR,105,0.2625,Heavy_squalane,4.384751018659845e-06,0.8971442050266626,1.0,0.004374566126629621
binary,PR,106,0.265,H2O,5.027299911092407e-07,0.10286138914486306,0.0,0.004381513822913688
binary,PR,106,0.265,Heavy_squalane,4.384720929869764e-06,0.897138610855137,1.0,0.004381513822913688
binary,PR,107,0.2675,H2O,5.028051432687857e-07,0.10287695985926695,0.0,0.004400788681610971
binary,PR,107,0.2675,Heavy_squalane,4.38463655365354e-06,0.8971230401407331,1.0,0.004400788681610971
binary,PR,108,0.27,H2O,5.030131425225705e-07,0.10292007000725593,0.0,0.004454091153359287
binary,PR,108,0.27,Heavy_squalane,4.384402329378175e-06,0.897079929992744,1.0,0.004454091153359287
binary,PR,109,0.2725,H2O,5.035821041962101e-07,0.10303800924319961,0.0,0.004599849426114647
binary,PR,109,0.2725,Heavy_squalane,4.383761002439421e-06,0.8969619907568004,1.0,0.004599849426114647
binary,PR,110,0.275,H2O,5.050914009369986e-07,0.10335089107940727,0.0,0.004986452602630289
binary,PR,110,0.275,Heavy_squalane,4.382059504698864e-06,0.8966491089205927,1.0,0.004986452602630289
binary,PR,111,0.2775,H2O,5.088366993499741e-07,0.10412740142999563,0.0,0.005945739715811184
binary,PR,111,0.2775,Heavy_squalane,4.377837628080186e-06,0.8958725985700043,1.0,0.005945739715811184
binary,PR,112,0.28,H2O,5.171207956282202e-07,0.10584554878771996,0.0,0.008067596274286028
binary,PR,112,0.28,Heavy_squalane,4.368496044673106e-06,0.89415445121228,1.0,0.008067596274286028
binary,PR,113,0.2825,H2O,5.329537000410097e-07,0.10913159870124581,0.0,0.012123164540993483
binary,PR,113,0.2825,Heavy_squalane,4.35063369704278e-06,0.8908684012987541,1.0,0.012123164540993483
binary,PR,114,0.285,H2O,5.592115595120822e-07,0.11458731827945502,0.0,0.018849037303891595
binary,PR,114,0.285,Heavy_squalane,4.321010509637661e-06,0.885412681720545,1.0,0.018849037303891595
binary,PR,115,0.2875,H2O,5.980070358254882e-07,0.122661730562026,0.0,0.02878626567863438
binary,PR,115,0.2875,Heavy_squalane,4.277246501569337e-06,0.877338269437974,1.0,0.02878626567863438
binary,PR,116,0.29,H2O,6.501456988632284e-07,0.13353915748982373,0.0,0.04214122457932253
binary,PR,116,0.29,Heavy_squalane,4.218431511628551e-06,0.8664608425101763,1.0,0.04214122457932253
binary,PR,117,0.2925,H2O,7.145277565928983e-07,0.1470120933542513,0.0,0.058632228402258714
binary,PR,117,0.2925,Heavy_squalane,4.145805432943549e-06,0.8529879066457486,1.0,0.058632228402258714
binary,PR,118,0.295,H2O,7.884667861593327e-07,0.162541475529754,0.0,0.0775711782769666
binary,PR,118,0.295,Heavy_squalane,4.062398407413984e-06,0.837458524470246,1.0,0.0775711782769666
binary,PR,119,0.2975,H2O,8.68717526197761e-07,0.1794652587917688,0.0,0.0981268237877723
binary,PR,119,0.2975,Heavy_squalane,3.971871298883547e-06,0.8205347412082312,1.0,0.0981268237877723
binary,PR,120,0.3,H2O,9.522663079410925e-07,0.19716107152661738,0.0,0.11952723214869782
binary,PR,120,0.3,Heavy_squalane,3.877623794439151e-06,0.8028389284733826,1.0,0.11952723214869782
binary,PR,121,0.3025,H2O,1.036678143776351e-06,0.21511947334650486,0.0,0.14114869684994097
binary,PR,121,0.3025,Heavy_squalane,3.782402749502502e-06,0.7848805266534952,1.0,0.14114869684994097
binary,PR,122,0.305,H2O,1.120154154200541e-06,0.23295818161288628,0.0,0.16253044800029756
binary,PR,122,0.305,Heavy_squalane,3.688237405371019e-06,0.7670418183871137,1.0,0.16253044800029756
binary,PR,123,0.3075,H2O,1.201458144703209e-06,0.25040914008499204,0.0,0.18335584427309817
binary,PR,123,0.3075,Heavy_squalane,3.596522249684228e-06,0.7495908599150081,1.0,0.18335584427309817
binary,PR,124,0.31,H2O,1.27979878885562e-06,0.26729584249745064,0.0,0.2034221939742903
binary,PR,124,0.31,Heavy_squalane,3.508149938284893e-06,0.7327041575025494,1.0,0.2034221939742903
binary,PR,125,0.3125,H2O,1.354717587273653e-06,0.2835112737998949,0.0,0.22261205696139
binary,PR,125,0.3125,Heavy_squalane,3.423637675698451e-06,0.7164887262001052,1.0,0.22261205696139
binary,PR,126,0.315,H2O,1.426003843295758e-06,0.2990010438039794,0.0,0.24087146607197438
binary,PR,126,0.315,Heavy_squalane,3.343223130475694e-06,0.7009989561960206,1.0,0.24087146607197438
binary,PR,127,0.3175,H2O,1.493629439250724e-06,0.3137502935816658,0.0,0.25819321951221197
binary,PR,127,0.3175,Heavy_squalane,3.26693802412903e-06,0.6862497064183342,1.0,0.25819321951221197
binary,PR,128,0.32,H2O,1.55768165372399e-06,0.3277697470070625,0.0,0.2745996740141351
binary,PR,128,0.32,Heavy_squalane,3.19468389540775e-06,0.6722302529929376,1.0,0.2745996740141351
binary,PR,129,0.3225,H2O,1.618297270602093e-06,0.3410816515383544,0.0,0.2901258663298568
binary,PR,129,0.3225,Heavy_squalane,3.12630644321016e-06,0.6589183484616457,1.0,0.2901258663298568
binary,PR,130,0.325,H2O,1.675620242898359e-06,0.3537105829577605,0.0,0.3048086692844337
binary,PR,130,0.325,Heavy_squalane,3.061643281666465e-06,0.6462894170422394,1.0,0.3048086692844337
binary,PR,131,0.3275,H2O,1.729792657550526e-06,0.3656814290793822,0.0,0.31868447818045686
binary,PR,131,0.3275,Heavy_squalane,3.000534124165868e-06,0.6343185709206177,1.0,0.31868447818045686
binary,PR,132,0.33,H2O,1.780967793982465e-06,0.37702223828574327,0.0,0.3317925544522043
binary,PR,132,0.33,Heavy_squalane,2.942806066361227e-06,0.6229777617142567,1.0,0.3317925544522043
binary,PR,133,0.3325,H2O,1.8293257786026e-06,0.3877676950124104,0.0,0.34417903665439337
binary,PR,133,0.3325,Heavy_squalane,2.888255913044129e-06,0.6122323049875896,1.0,0.34417903665439337
