family,water_fraction,initial_anchor,z_H2O,z_OIL_GASOLINE,z_OIL_DIESEL,z_OIL_MIDDLE,z_OIL_HEAVY,design_status
HEAVY_ENRICHED,0.010000,0,0.010000000,0.025522214,0.342912334,0.350537994,0.271027458,DETERMINISTIC_SENSITIVITY_NOT_UNCERTAINTY
HEAVY_ENRICHED,0.050000,0,0.050000000,0.024491013,0.329057290,0.336374843,0.260076854,DETERMINISTIC_SENSITIVITY_NOT_UNCERTAINTY
HEAVY_ENRICHED,0.100000,0,0.100000000,0.023202013,0.311738485,0.318670904,0.246388598,DETERMINISTIC_SENSITIVITY_NOT_UNCERTAINTY
HEAVY_ENRICHED,0.200000,0,0.200000000,0.020624011,0.277100876,0.283263025,0.219012087,DETERMINISTIC_SENSITIVITY_NOT_UNCERTAINTY
HEAVY_ENRICHED,0.350000,0,0.350000000,0.016757009,0.225144462,0.230151208,0.177947321,DETERMINISTIC_SENSITIVITY_NOT_UNCERTAINTY
HEAVY_ENRICHED,0.500000,0,0.500000000,0.012890007,0.173188047,0.177039391,0.136882555,DETERMINISTIC_SENSITIVITY_NOT_UNCERTAINTY
HEAVY_ENRICHED,0.650000,0,0.650000000,0.009023005,0.121231633,0.123927574,0.095817788,DETERMINISTIC_SENSITIVITY_NOT_UNCERTAINTY
HEAVY_ENRICHED,0.800000,0,0.800000000,0.005156003,0.069275219,0.070815756,0.054753022,DETERMINISTIC_SENSITIVITY_NOT_UNCERTAINTY
HEAVY_ENRICHED,0.900000,0,0.900000000,0.002578001,0.034637609,0.035407878,0.027376511,DETERMINISTIC_SENSITIVITY_NOT_UNCERTAINTY
HEAVY_ENRICHED,0.970000,0,0.970000000,0.000773400,0.010391283,0.010622363,0.008212953,DETERMINISTIC_SENSITIVITY_NOT_UNCERTAINTY
HEAVY_ENRICHED,0.995000,0,0.995000000,0.000128900,0.001731880,0.001770394,0.001368826,DETERMINISTIC_SENSITIVITY_NOT_UNCERTAINTY
H2O_HEAVY_BINARY,0.010000,0,0.010000000,0.000000000,0.000000000,0.000000000,0.990000000,H2O_HEAVY_SCREENING_ONLY_BIP_AND_HEAVY_PROPERTIES_UNVALIDATED
H2O_HEAVY_BINARY,0.050000,0,0.050000000,0.000000000,0.000000000,0.000000000,0.950000000,H2O_HEAVY_SCREENING_ONLY_BIP_AND_HEAVY_PROPERTIES_UNVALIDATED
H2O_HEAVY_BINARY,0.100000,0,0.100000000,0.000000000,0.000000000,0.000000000,0.900000000,H2O_HEAVY_SCREENING_ONLY_BIP_AND_HEAVY_PROPERTIES_UNVALIDATED
H2O_HEAVY_BINARY,0.200000,0,0.200000000,0.000000000,0.000000000,0.000000000,0.800000000,H2O_HEAVY_SCREENING_ONLY_BIP_AND_HEAVY_PROPERTIES_UNVALIDATED
H2O_HEAVY_BINARY,0.350000,0,0.350000000,0.000000000,0.000000000,0.000000000,0.650000000,H2O_HEAVY_SCREENING_ONLY_BIP_AND_HEAVY_PROPERTIES_UNVALIDATED
H2O_HEAVY_BINARY,0.500000,0,0.500000000,0.000000000,0.000000000,0.000000000,0.500000000,H2O_HEAVY_SCREENING_ONLY_BIP_AND_HEAVY_PROPERTIES_UNVALIDATED
H2O_HEAVY_BINARY,0.650000,0,0.650000000,0.000000000,0.000000000,0.000000000,0.350000000,H2O_HEAVY_SCREENING_ONLY_BIP_AND_HEAVY_PROPERTIES_UNVALIDATED
H2O_HEAVY_BINARY,0.800000,0,0.800000000,0.000000000,0.000000000,0.000000000,0.200000000,H2O_HEAVY_SCREENING_ONLY_BIP_AND_HEAVY_PROPERTIES_UNVALIDATED
H2O_HEAVY_BINARY,0.900000,0,0.900000000,0.000000000,0.000000000,0.000000000,0.100000000,H2O_HEAVY_SCREENING_ONLY_BIP_AND_HEAVY_PROPERTIES_UNVALIDATED
H2O_HEAVY_BINARY,0.970000,0,0.970000000,0.000000000,0.000000000,0.000000000,0.030000000,H2O_HEAVY_SCREENING_ONLY_BIP_AND_HEAVY_PROPERTIES_UNVALIDATED
H2O_HEAVY_BINARY,0.995000,0,0.995000000,0.000000000,0.000000000,0.000000000,0.005000000,H2O_HEAVY_SCREENING_ONLY_BIP_AND_HEAVY_PROPERTIES_UNVALIDATED
