input_index,pressure_Pa,oil_x_0_H2O,gas_y_0_H2O,water_x_0_H2O,oil_saturation,gas_saturation,water_saturation,well_pressure_Pa
26,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
27,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
28,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
29,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
30,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
31,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
32,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
33,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
34,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
35,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
36,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
37,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
38,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
39,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
40,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
41,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
42,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
43,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
44,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
45,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
46,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
47,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
48,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
49,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
50,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
51,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
52,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
53,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
54,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
55,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
56,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
57,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
58,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
59,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.76899999999999963e+07
