id,source,pair,kind,split,temperature_K,pressure_Pa,salinity_molal,density_kg_m3,uncertainty,x_h2o,x_co2,x_ch4,x_c2,x_nc4,y_h2o,y_co2,y_ch4,y_c2,y_nc4
may2015_ch4_nc4_018,May et al. (2015),ch4_nc4,vle,validation,244.52,9913000.0,0.0,0.0,69000.0,0.0,0.0,0.7522,0.0,0.24780000000000002,0.0,0.0,0.9485,0.0,0.0515
may2015_ch4_nc4_019,May et al. (2015),ch4_nc4,vle,training,244.48,10132000.0,0.0,0.0,68000.0,0.0,0.0,0.7764,0.0,0.22360000000000002,0.0,0.0,0.9406,0.0,0.0594
petropoulou2018_co2_ch4_000,Petropoulou et al. (2018),co2_ch4,vle,validation,293.13,5727300.0,0.0,0.0,1e-05,0.0,0.99999,9.99999999995449e-06,0.0,0.0,0.0,0.99999,9.99999999995449e-06,0.0,0.0
petropoulou2018_co2_ch4_001,Petropoulou et al. (2018),co2_ch4,vle,training,293.1295,6134700.000000001,0.0,0.0,0.00165,0.0,0.98472,0.01527999999999996,0.0,0.0,0.0,0.9603,0.03969999999999996,0.0,0.0
petropoulou2018_co2_ch4_002,Petropoulou et al. (2018),co2_ch4,vle,training,293.1295,6645850.0,0.0,0.0,0.00174,0.0,0.96439,0.03561000000000003,0.0,0.0,0.0,0.91971,0.08028999999999997,0.0,0.0
petropoulou2018_co2_ch4_003,Petropoulou et al. (2018),co2_ch4,vle,training,293.1295,6840100.0,0.0,0.0,0.00177,0.0,0.95611,0.043889999999999985,0.0,0.0,0.0,0.90679,0.09321000000000002,0.0,0.0
petropoulou2018_co2_ch4_004,Petropoulou et al. (2018),co2_ch4,vle,validation,293.13,6975550.0,0.0,0.0,0.00179,0.0,0.95018,0.049819999999999975,0.0,0.0,0.0,0.89863,0.10136999999999996,0.0,0.0
petropoulou2018_co2_ch4_005,Petropoulou et al. (2018),co2_ch4,vle,training,293.129,7118300.0,0.0,0.0,0.00183,0.0,0.94364,0.056359999999999966,0.0,0.0,0.0,0.8907,0.10929999999999995,0.0,0.0
petropoulou2018_co2_ch4_006,Petropoulou et al. (2018),co2_ch4,vle,training,293.13,7350800.0,0.0,0.0,0.00184,0.0,0.9324,0.0676,0.0,0.0,0.0,0.87979,0.12021000000000004,0.0,0.0
petropoulou2018_co2_ch4_007,Petropoulou et al. (2018),co2_ch4,vle,training,293.13,7575800.0,0.0,0.0,0.00187,0.0,0.92024,0.07976000000000005,0.0,0.0,0.0,0.87189,0.12810999999999995,0.0,0.0
petropoulou2018_co2_ch4_008,Petropoulou et al. (2018),co2_ch4,vle,validation,293.13,7796150.0,0.0,0.0,0.00192,0.0,0.90568,0.09431999999999996,0.0,0.0,0.0,0.86866,0.13134,0.0,0.0
petropoulou2018_co2_ch4_009,Petropoulou et al. (2018),co2_ch4,vle,training,293.13,7909100.0,0.0,0.0,0.00234,0.0,0.89394,0.10606000000000004,0.0,0.0,0.0,0.87303,0.12697000000000003,0.0,0.0
petropoulou2018_co2_ch4_010,Petropoulou et al. (2018),co2_ch4,vle,training,293.13,7913500.0,0.0,0.0,0.00239,0.0,0.89309,0.10690999999999995,0.0,0.0,0.0,0.87361,0.12639,0.0,0.0
petropoulou2018_co2_ch4_011,Petropoulou et al. (2018),co2_ch4,vle,training,293.128,7917900.0,0.0,0.0,0.00251,0.0,0.8922,0.1078,0.0,0.0,0.0,0.87424,0.12575999999999998,0.0,0.0
petropoulou2018_co2_ch4_012,Petropoulou et al. (2018),co2_ch4,vle,validation,293.1295,7921900.0,0.0,0.0,0.00285,0.0,0.89123,0.10877000000000003,0.0,0.0,0.0,0.87499,0.12500999999999995,0.0,0.0
petropoulou2018_co2_ch4_013,Petropoulou et al. (2018),co2_ch4,vle,training,293.13,7926600.0,0.0,0.0,0.00297,0.0,0.88982,0.11017999999999994,0.0,0.0,0.0,0.87626,0.12373999999999996,0.0,0.0
petropoulou2018_co2_ch4_014,Petropoulou et al. (2018),co2_ch4,vle,training,293.1295,7930800.0,0.0,0.0,0.00329,0.0,0.88782,0.11217999999999995,0.0,0.0,0.0,0.87817,0.12183,0.0,0.0
petropoulou2018_co2_ch4_015,Petropoulou et al. (2018),co2_ch4,vle,training,298.141,6431600.0,0.0,0.0,1e-05,0.0,0.99999,9.99999999995449e-06,0.0,0.0,0.0,0.99999,9.99999999995449e-06,0.0,0.0
petropoulou2018_co2_ch4_016,Petropoulou et al. (2018),co2_ch4,vle,training,298.142,6641050.0,0.0,0.0,0.00164,0.0,0.992,0.008000000000000007,0.0,0.0,0.0,0.98297,0.01702999999999999,0.0,0.0
petropoulou2018_co2_ch4_017,Petropoulou et al. (2018),co2_ch4,vle,validation,298.1415,6975450.0,0.0,0.0,0.00164,0.0,0.97855,0.02144999999999997,0.0,0.0,0.0,0.95917,0.04083000000000003,0.0,0.0
petropoulou2018_co2_ch4_018,Petropoulou et al. (2018),co2_ch4,vle,training,298.142,7311400.0,0.0,0.0,0.00159,0.0,0.96361,0.03639000000000003,0.0,0.0,0.0,0.93993,0.06006999999999996,0.0,0.0
petropoulou2018_co2_ch4_019,Petropoulou et al. (2018),co2_ch4,vle,training,298.142,7507850.0,0.0,0.0,0.00161,0.0,0.95359,0.04640999999999995,0.0,0.0,0.0,0.9318,0.06820000000000004,0.0,0.0
petropoulou2018_co2_ch4_020,Petropoulou et al. (2018),co2_ch4,vle,training,298.142,7625000.0,0.0,0.0,0.00165,0.0,0.94622,0.05378000000000005,0.0,0.0,0.0,0.92917,0.07082999999999995,0.0,0.0
petropoulou2018_co2_ch4_021,Petropoulou et al. (2018),co2_ch4,vle,validation,298.1415,7659900.0,0.0,0.0,0.00163,0.0,0.94337,0.05662999999999996,0.0,0.0,0.0,0.92928,0.07072,0.0,0.0
petropoulou2018_co2_ch4_022,Petropoulou et al. (2018),co2_ch4,vle,training,298.1415,7678300.0,0.0,0.0,0.00159,0.0,0.9415,0.058499999999999996,0.0,0.0,0.0,0.92979,0.07021,0.0,0.0
petropoulou2018_co2_ch4_023,Petropoulou et al. (2018),co2_ch4,vle,training,298.142,7688600.0,0.0,0.0,0.00184,0.0,0.94016,0.059840000000000004,0.0,0.0,0.0,0.93044,0.06955999999999996,0.0,0.0
petropoulou2018_co2_ch4_024,Petropoulou et al. (2018),co2_ch4,vle,training,298.142,7693800.0,0.0,0.0,0.00197,0.0,0.93924,0.060760000000000036,0.0,0.0,0.0,0.93103,0.06896999999999998,0.0,0.0
petropoulou2018_co2_ch4_025,Petropoulou et al. (2018),co2_ch4,vle,validation,298.1415,7697750.0,0.0,0.0,0.00198,0.0,0.93835,0.06164999999999998,0.0,0.0,0.0,0.93175,0.06825000000000003,0.0,0.0
petropoulou2018_co2_ch4_026,Petropoulou et al. (2018),co2_ch4,vle,training,303.144,7212100.0,0.0,0.0,1e-05,0.0,0.99999,9.99999999995449e-06,0.0,0.0,0.0,0.99999,9.99999999995449e-06,0.0,0.0
petropoulou2018_co2_ch4_027,Petropoulou et al. (2018),co2_ch4,vle,training,303.144,7262500.0,0.0,0.0,0.00148,0.0,0.99791,0.0020900000000000363,0.0,0.0,0.0,0.99695,0.003049999999999997,0.0,0.0
petropoulou2018_co2_ch4_028,Petropoulou et al. (2018),co2_ch4,vle,training,303.1445,7306400.0,0.0,0.0,0.00148,0.0,0.996,0.0040000000000000036,0.0,0.0,0.0,0.99438,0.005619999999999958,0.0,0.0
petropoulou2018_co2_ch4_029,Petropoulou et al. (2018),co2_ch4,vle,validation,303.14250000000004,7360900.0,0.0,0.0,0.00148,0.0,0.9935,0.00649999999999995,0.0,0.0,0.0,0.99142,0.008580000000000032,0.0,0.0
petropoulou2018_co2_ch4_030,Petropoulou et al. (2018),co2_ch4,vle,training,303.144,7415550.0,0.0,0.0,0.00148,0.0,0.99073,0.00927,0.0,0.0,0.0,0.98896,0.01104000000000005,0.0,0.0
petropoulou2018_co2_ch4_031,Petropoulou et al. (2018),co2_ch4,vle,training,303.145,7425450.000000001,0.0,0.0,0.00149,0.0,0.99009,0.009909999999999974,0.0,0.0,0.0,0.98862,0.011379999999999946,0.0,0.0
petropoulou2018_co2_ch4_032,Petropoulou et al. (2018),co2_ch4,vle,training,303.145,7428799.999999999,0.0,0.0,0.00153,0.0,0.98988,0.010120000000000018,0.0,0.0,0.0,0.98855,0.01144999999999996,0.0,0.0
petropoulou2018_co2_ch4_033,Petropoulou et al. (2018),co2_ch4,vle,validation,303.145,7430500.0,0.0,0.0,0.00152,0.0,0.98975,0.010249999999999981,0.0,0.0,0.0,0.98856,0.011440000000000006,0.0,0.0
petropoulou2018_co2_ch4_034,Petropoulou et al. (2018),co2_ch4,vle,training,303.145,7431700.000000001,0.0,0.0,0.00151,0.0,0.98963,0.01036999999999999,0.0,0.0,0.0,0.98854,0.011460000000000026,0.0,0.0
petropoulou2018_co2_ch4_035,Petropoulou et al. (2018),co2_ch4,vle,training,303.145,7432950.000000001,0.0,0.0,0.00151,0.0,0.9895,0.010499999999999954,0.0,0.0,0.0,0.98855,0.01144999999999996,0.0,0.0
petropoulou2018_co2_ch4_036,Petropoulou et al. (2018),co2_ch4,vle,training,303.144,7434100.0,0.0,0.0,0.00153,0.0,0.98934,0.010660000000000003,0.0,0.0,0.0,0.98861,0.011390000000000011,0.0,0.0
frost2014_h2o_ch4_000,Frost et al. (2014),h2o_ch4,vle,training,283.89,5010000.0,0.0,0.0,350000.0,0.99866,0.0,0.00134,0.0,0.0,0.000298,0.0,0.999702,0.0,0.0
frost2014_h2o_ch4_001,Frost et al. (2014),h2o_ch4,vle,training,283.89,5870000.0,0.0,0.0,410000.0,0.99846,0.0,0.00154,0.0,0.0,0.000262,0.0,0.999738,0.0,0.0
frost2014_h2o_ch4_002,Frost et al. (2014),h2o_ch4,vle,validation,283.89,4780000.0,0.0,0.0,310000.0,0.99872,0.0,0.00128,0.0,0.0,0.000441,0.0,0.999559,0.0,0.0
frost2014_h2o_ch4_003,Frost et al. (2014),h2o_ch4,vle,training,283.89,6470000.0,0.0,0.0,440000.0,0.99832,0.0,0.00168,0.0,0.0,0.000238,0.0,0.999762,0.0,0.0
frost2014_h2o_ch4_004,Frost et al. (2014),h2o_ch4,vle,training,283.89,7410000.0,0.0,0.0,500000.0,0.9981,0.0,0.0019,0.0,0.0,0.000225,0.0,0.999775,0.0,0.0
frost2014_h2o_ch4_005,Frost et al. (2014),h2o_ch4,vle,validation,283.89,7110000.0,0.0,0.0,480000.0,0.99817,0.0,0.00183,0.0,0.0,0.000222,0.0,0.999778,0.0,0.0
frost2014_h2o_ch4_006,Frost et al. (2014),h2o_ch4,vle,training,298.31,5110000.0,0.0,0.0,350000.0,0.99881,0.0,0.00119,0.0,0.0,0.000985,0.0,0.999015,0.0,0.0
frost2014_h2o_ch4_007,Frost et al. (2014),h2o_ch4,vle,validation,298.31,6410000.0,0.0,0.0,620000.0,0.9986,0.0,0.0014,0.0,0.0,0.000837,0.0,0.999163,0.0,0.0
frost2014_h2o_ch4_008,Frost et al. (2014),h2o_ch4,vle,training,298.31,8450000.0,0.0,0.0,940000.0,0.99835,0.0,0.00165,0.0,0.0,0.000687,0.0,0.999313,0.0,0.0
frost2014_h2o_ch4_009,Frost et al. (2014),h2o_ch4,vle,training,298.31,11460000.0,0.0,0.0,1130000.0,0.99807,0.0,0.00193,0.0,0.0,0.000552,0.0,0.999448,0.0,0.0
frost2014_h2o_ch4_010,Frost et al. (2014),h2o_ch4,vle,training,298.31,15480000.0,0.0,0.0,1630000.0,0.9976,0.0,0.0024,0.0,0.0,0.000445,0.0,0.999555,0.0,0.0
frost2014_h2o_ch4_011,Frost et al. (2014),h2o_ch4,vle,validation,298.31,19490000.0,0.0,0.0,2990000.0,0.99739,0.0,0.00261,0.0,0.0,0.000378,0.0,0.999622,0.0,0.0
frost2014_h2o_ch4_012,Frost et al. (2014),h2o_ch4,vle,training,313.11,5480000.0,0.0,0.0,240000.0,0.999329,0.0,0.000671,0.0,0.0,0.00169,0.0,0.99831,0.0,0.0
frost2014_h2o_ch4_013,Frost et al. (2014),h2o_ch4,vle,training,313.11,6780000.0,0.0,0.0,280000.0,0.999085,0.0,0.000915,0.0,0.0,0.00136,0.0,0.99864,0.0,0.0
frost2014_h2o_ch4_014,Frost et al. (2014),h2o_ch4,vle,validation,313.11,8150000.0,0.0,0.0,480000.0,0.99877,0.0,0.00123,0.0,0.0,0.00118,0.0,0.99882,0.0,0.0
frost2014_h2o_ch4_015,Frost et al. (2014),h2o_ch4,vle,training,313.11,12460000.0,0.0,0.0,930000.0,0.99811,0.0,0.00189,0.0,0.0,0.000855,0.0,0.999145,0.0,0.0
frost2014_h2o_ch4_016,Frost et al. (2014),h2o_ch4,vle,training,313.11,16780000.0,0.0,0.0,1330000.0,0.99765,0.0,0.00235,0.0,0.0,0.000682,0.0,0.999318,0.0,0.0
frost2014_h2o_ch4_017,Frost et al. (2014),h2o_ch4,vle,training,323.56,4980000.0,0.0,0.0,270000.0,0.999396,0.0,0.000604,0.0,0.0,0.00387,0.0,0.99613,0.0,0.0
frost2014_h2o_ch4_018,Frost et al. (2014),h2o_ch4,vle,training,323.56,6490000.0,0.0,0.0,360000.0,0.999177,0.0,0.000823,0.0,0.0,0.00335,0.0,0.99665,0.0,0.0
frost2014_h2o_ch4_019,Frost et al. (2014),h2o_ch4,vle,validation,323.56,8480000.0,0.0,0.0,390000.0,0.99889,0.0,0.00111,0.0,0.0,0.00265,0.0,0.99735,0.0,0.0
frost2014_h2o_ch4_020,Frost et al. (2014),h2o_ch4,vle,training,323.56,11490000.0,0.0,0.0,1080000.0,0.99831,0.0,0.00169,0.0,0.0,0.00224,0.0,0.99776,0.0,0.0
frost2014_h2o_ch4_021,Frost et al. (2014),h2o_ch4,vle,training,323.56,18480000.0,0.0,0.0,2870000.0,0.99802,0.0,0.00198,0.0,0.0,0.00173,0.0,0.99827,0.0,0.0
yang2018_co2_c2_000,Yang et al. (2018),co2_c2,density,training,273.15,3053060.0,0.0,77.9966,0.0297,0.0,0.0,0.0,0.0,0.0,0.0,0.94977,0.0,0.05023,0.0
yang2018_co2_c2_001,Yang et al. (2018),co2_c2,density,training,273.15,2562230.0,0.0,61.2253,0.0239,0.0,0.0,0.0,0.0,0.0,0.0,0.94977,0.0,0.05023,0.0
yang2018_co2_c2_002,Yang et al. (2018),co2_c2,density,validation,273.15,2061980.0,0.0,46.5645,0.0189,0.0,0.0,0.0,0.0,0.0,0.0,0.94977,0.0,0.05023,0.0
yang2018_co2_c2_003,Yang et al. (2018),co2_c2,density,training,273.15,1075750.0,0.0,22.195,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.94977,0.0,0.05023,0.0
yang2018_co2_c2_004,Yang et al. (2018),co2_c2,density,training,273.15,551380.0,0.0,10.9267,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.94977,0.0,0.05023,0.0
yang2018_co2_c2_005,Yang et al. (2018),co2_c2,density,training,283.15,4045690.0,0.0,108.543,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.94977,0.0,0.05023,0.0
yang2018_co2_c2_006,Yang et al. (2018),co2_c2,density,training,283.15,3546150.0,0.0,88.2259,0.0327,0.0,0.0,0.0,0.0,0.0,0.0,0.94977,0.0,0.05023,0.0
yang2018_co2_c2_007,Yang et al. (2018),co2_c2,density,validation,283.15,3029920.0,0.0,70.7861,0.0285,0.0,0.0,0.0,0.0,0.0,0.0,0.94977,0.0,0.05023,0.0
yang2018_co2_c2_008,Yang et al. (2018),co2_c2,density,training,283.15,2025920.0,0.0,42.9555,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.94977,0.0,0.05023,0.0
yang2018_co2_c2_009,Yang et al. (2018),co2_c2,density,training,283.15,1030000.0,0.0,20.2371,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.94977,0.0,0.05023,0.0
yang2018_co2_c2_010,Yang et al. (2018),co2_c2,density,training,283.15,519179.99999999994,0.0,9.86023,0.00467,0.0,0.0,0.0,0.0,0.0,0.0,0.94977,0.0,0.05023,0.0
yang2018_co2_c2_011,Yang et al. (2018),co2_c2,density,training,323.15,6013830.0,0.0,133.393,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.94977,0.0,0.05023,0.0
yang2018_co2_c2_012,Yang et al. (2018),co2_c2,density,training,323.15,5061410.0,0.0,104.85,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.94977,0.0,0.05023,0.0
yang2018_co2_c2_013,Yang et al. (2018),co2_c2,density,training,323.15,4049920.0,0.0,78.8065,0.0298,0.0,0.0,0.0,0.0,0.0,0.0,0.94977,0.0,0.05023,0.0
yang2018_co2_c2_014,Yang et al. (2018),co2_c2,density,validation,323.15,3038660.0,0.0,55.972,0.0214,0.0,0.0,0.0,0.0,0.0,0.0,0.94977,0.0,0.05023,0.0
yang2018_co2_c2_015,Yang et al. (2018),co2_c2,density,training,323.15,2039410.0,0.0,35.7934,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.94977,0.0,0.05023,0.0
yang2018_co2_c2_016,Yang et al. (2018),co2_c2,density,training,323.15,1024900.0000000001,0.0,17.2074,0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.94977,0.0,0.05023,0.0
yang2018_co2_c2_017,Yang et al. (2018),co2_c2,density,training,323.15,524460.0,0.0,8.6271,0.00425,0.0,0.0,0.0,0.0,0.0,0.0,0.94977,0.0,0.05023,0.0
yang2018_co2_c2_018,Yang et al. (2018),co2_c2,density,training,273.15,3507180.0,0.0,92.6352,0.0358,0.0,0.0,0.0,0.0,0.0,0.0,0.79969,0.0,0.20031,0.0
yang2018_co2_c2_019,Yang et al. (2018),co2_c2,density,training,273.15,3037880.0,0.0,73.9838,0.0285,0.0,0.0,0.0,0.0,0.0,0.0,0.79969,0.0,0.20031,0.0
yang2018_co2_c2_020,Yang et al. (2018),co2_c2,density,training,273.15,2035550.0,0.0,43.7371,0.0171,0.0,0.0,0.0,0.0,0.0,0.0,0.79969,0.0,0.20031,0.0
yang2018_co2_c2_021,Yang et al. (2018),co2_c2,density,training,273.15,1027579.9999999999,0.0,20.1219,0.0083,0.0,0.0,0.0,0.0,0.0,0.0,0.79969,0.0,0.20031,0.0
yang2018_co2_c2_022,Yang et al. (2018),co2_c2,density,training,273.15,534790.0,0.0,10.0789,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.79969,0.0,0.20031,0.0
yang2018_co2_c2_023,Yang et al. (2018),co2_c2,density,training,273.15,3489360.0,0.0,91.84,0.0355,0.0,0.0,0.0,0.0,0.0,0.0,0.79969,0.0,0.20031,0.0
yang2018_co2_c2_024,Yang et al. (2018),co2_c2,density,training,273.15,3488710.0,0.0,91.8117,0.0355,0.0,0.0,0.0,0.0,0.0,0.0,0.79969,0.0,0.20031,0.0
yang2018_co2_c2_025,Yang et al. (2018),co2_c2,density,validation,273.15,3488180.0,0.0,91.7868,0.0355,0.0,0.0,0.0,0.0,0.0,0.0,0.79969,0.0,0.20031,0.0
yang2018_co2_c2_026,Yang et al. (2018),co2_c2,density,training,273.15,3480570.0,0.0,91.4391,0.0354,0.0,0.0,0.0,0.0,0.0,0.0,0.79969,0.0,0.20031,0.0
yang2018_co2_c2_027,Yang et al. (2018),co2_c2,density,training,273.15,3480580.0,0.0,91.4331,0.0354,0.0,0.0,0.0,0.0,0.0,0.0,0.79969,0.0,0.20031,0.0
yang2018_co2_c2_028,Yang et al. (2018),co2_c2,density,validation,273.15,3507240.0,0.0,92.638,0.0358,0.0,0.0,0.0,0.0,0.0,0.0,0.79969,0.0,0.20031,0.0
yang2018_co2_c2_029,Yang et al. (2018),co2_c2,density,validation,273.15,3037290.0,0.0,73.9637,0.0291,0.0,0.0,0.0,0.0,0.0,0.0,0.79969,0.0,0.20031,0.0
yang2018_co2_c2_030,Yang et al. (2018),co2_c2,density,training,273.15,2035090.0,0.0,43.7258,0.0179,0.0,0.0,0.0,0.0,0.0,0.0,0.79969,0.0,0.20031,0.0
yang2018_co2_c2_031,Yang et al. (2018),co2_c2,density,training,273.15,1023800.0,0.0,20.0462,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.79969,0.0,0.20031,0.0
yang2018_co2_c2_032,Yang et al. (2018),co2_c2,density,training,273.15,1024640.0000000001,0.0,20.0627,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.79969,0.0,0.20031,0.0
